Category: Food & Drink

Week,Aloo gobi: (Delhi)
2018-01-07,67
2018-01-14,59
2018-01-21,94
2018-01-28,71
2018-02-04,44
2018-02-11,34
2018-02-18,38
2018-02-25,41
2018-03-04,59
2018-03-11,23
2018-03-18,33
2018-03-25,42
2018-04-01,0
2018-04-08,22
2018-04-15,12
2018-04-22,47
2018-04-29,22
2018-05-06,20
2018-05-13,0
2018-05-20,23
2018-05-27,22
2018-06-03,32
2018-06-10,0
2018-06-17,21
2018-06-24,41
2018-07-01,0
2018-07-08,29
2018-07-15,0
2018-07-22,0
2018-07-29,31
2018-08-05,22
2018-08-12,21
2018-08-19,28
2018-08-26,12
2018-09-02,39
2018-09-09,0
2018-09-16,52
2018-09-23,46
2018-09-30,44
2018-10-07,71
2018-10-14,43
2018-10-21,46
2018-10-28,45
2018-11-04,51
2018-11-11,47
2018-11-18,63
2018-11-25,65
2018-12-02,28
2018-12-09,70
2018-12-16,37
2018-12-23,58
2018-12-30,57
2019-01-06,58
2019-01-13,50
2019-01-20,70
2019-01-27,34
2019-02-03,52
2019-02-10,55
2019-02-17,18
2019-02-24,77
2019-03-03,44
2019-03-10,17
2019-03-17,41
2019-03-24,27
2019-03-31,0
2019-04-07,67
2019-04-14,40
2019-04-21,50
2019-04-28,34
2019-05-05,0
2019-05-12,13
2019-05-19,0
2019-05-26,20
2019-06-02,0
2019-06-09,53
2019-06-16,15
2019-06-23,39
2019-06-30,40
2019-07-07,37
2019-07-14,16
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,30
2019-09-01,33
2019-09-08,25
2019-09-15,28
2019-09-22,44
2019-09-29,29
2019-10-06,44
2019-10-13,32
2019-10-20,54
2019-10-27,54
2019-11-03,53
2019-11-10,34
2019-11-17,36
2019-11-24,40
2019-12-01,50
2019-12-08,28
2019-12-15,16
2019-12-22,41
2019-12-29,41
2020-01-05,57
2020-01-12,0
2020-01-19,53
2020-01-26,18
2020-02-02,0
2020-02-09,42
2020-02-16,23
2020-02-23,65
2020-03-01,32
2020-03-08,26
2020-03-15,13
2020-03-22,58
2020-03-29,62
2020-04-05,18
2020-04-12,33
2020-04-19,38
2020-04-26,66
2020-05-03,22
2020-05-10,22
2020-05-17,23
2020-05-24,0
2020-05-31,22
2020-06-07,56
2020-06-14,26
2020-06-21,0
2020-06-28,42
2020-07-05,31
2020-07-12,0
2020-07-19,0
2020-07-26,35
2020-08-02,0
2020-08-09,0
2020-08-16,45
2020-08-23,46
2020-08-30,0
2020-09-06,36
2020-09-13,13
2020-09-20,16
2020-09-27,36
2020-10-04,21
2020-10-11,14
2020-10-18,40
2020-10-25,62
2020-11-01,84
2020-11-08,58
2020-11-15,82
2020-11-22,78
2020-11-29,51
2020-12-06,27
2020-12-13,90
2020-12-20,100
2020-12-27,0
2021-01-03,47
2021-01-10,15
2021-01-17,28
2021-01-24,95
2021-01-31,56
2021-02-07,37
2021-02-14,53
2021-02-21,0
2021-02-28,28
2021-03-07,23
2021-03-14,29
2021-03-21,0
2021-03-28,48
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,20
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,68
2021-05-30,0
2021-06-06,30
2021-06-13,67
2021-06-20,28
2021-06-27,0
2021-07-04,22
2021-07-11,0
2021-07-18,25
2021-07-25,33
2021-08-01,23
2021-08-08,0
2021-08-15,37
2021-08-22,31
2021-08-29,0
2021-09-05,34
2021-09-12,0
2021-09-19,19
2021-09-26,44
2021-10-03,27
2021-10-10,0
2021-10-17,50
2021-10-24,66
2021-10-31,53
2021-11-07,0
2021-11-14,0
2021-11-21,23
2021-11-28,33
2021-12-05,42
2021-12-12,24
2021-12-19,34
2021-12-26,25
2022-01-02,37
2022-01-09,60
2022-01-16,24
2022-01-23,54
2022-01-30,0
2022-02-06,22
2022-02-13,54
2022-02-20,39
2022-02-27,59
2022-03-06,0
2022-03-13,54
2022-03-20,0
2022-03-27,29
2022-04-03,16
2022-04-10,22
2022-04-17,9
2022-04-24,26
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,46
2022-06-12,17
2022-06-19,14
2022-06-26,35
2022-07-03,14
2022-07-10,16
2022-07-17,15
2022-07-24,0
2022-07-31,27
2022-08-07,0
2022-08-14,18
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,24
2022-09-18,22
2022-09-25,18
2022-10-02,19
2022-10-09,30
2022-10-16,25
2022-10-23,49
2022-10-30,25
2022-11-06,15
2022-11-13,0
2022-11-20,52
2022-11-27,31
2022-12-04,32
2022-12-11,25
2022-12-18,12
2022-12-25,48
