Category: Food & Drink

Week,Aloo matar: (Delhi)
07-01-2018,44
14-01-2018,16
21-01-2018,24
28-01-2018,13
04-02-2018,28
11-02-2018,43
18-02-2018,24
25-02-2018,27
04-03-2018,0
11-03-2018,62
18-03-2018,36
25-03-2018,43
01-04-2018,0
08-04-2018,14
15-04-2018,22
22-04-2018,0
29-04-2018,0
06-05-2018,0
13-05-2018,25
20-05-2018,30
27-05-2018,33
03-06-2018,0
10-06-2018,21
17-06-2018,0
24-06-2018,0
01-07-2018,53
08-07-2018,0
15-07-2018,0
22-07-2018,12
29-07-2018,0
05-08-2018,34
12-08-2018,13
19-08-2018,39
26-08-2018,0
02-09-2018,0
09-09-2018,0
16-09-2018,62
23-09-2018,15
30-09-2018,13
07-10-2018,20
14-10-2018,40
21-10-2018,0
28-10-2018,13
04-11-2018,0
11-11-2018,15
18-11-2018,0
25-11-2018,26
02-12-2018,28
09-12-2018,31
16-12-2018,38
23-12-2018,49
30-12-2018,46
06-01-2019,33
13-01-2019,35
20-01-2019,30
27-01-2019,24
03-02-2019,18
10-02-2019,45
17-02-2019,36
24-02-2019,80
03-03-2019,36
10-03-2019,0
17-03-2019,0
24-03-2019,56
31-03-2019,22
07-04-2019,17
14-04-2019,39
21-04-2019,26
28-04-2019,0
05-05-2019,0
12-05-2019,0
19-05-2019,24
26-05-2019,0
02-06-2019,16
09-06-2019,0
16-06-2019,0
23-06-2019,0
30-06-2019,0
07-07-2019,0
14-07-2019,15
21-07-2019,0
28-07-2019,32
04-08-2019,0
11-08-2019,31
18-08-2019,0
25-08-2019,0
01-09-2019,36
08-09-2019,23
15-09-2019,45
22-09-2019,0
29-09-2019,19
06-10-2019,16
13-10-2019,0
20-10-2019,30
27-10-2019,28
03-11-2019,0
10-11-2019,0
17-11-2019,40
24-11-2019,49
01-12-2019,62
08-12-2019,26
15-12-2019,48
22-12-2019,50
29-12-2019,18
05-01-2020,38
12-01-2020,30
19-01-2020,0
26-01-2020,27
02-02-2020,0
09-02-2020,0
16-02-2020,0
23-02-2020,38
01-03-2020,51
08-03-2020,25
15-03-2020,41
22-03-2020,40
29-03-2020,36
05-04-2020,38
12-04-2020,32
19-04-2020,23
26-04-2020,94
03-05-2020,0
10-05-2020,18
17-05-2020,46
24-05-2020,18
31-05-2020,0
07-06-2020,0
14-06-2020,19
21-06-2020,0
28-06-2020,0
05-07-2020,0
12-07-2020,0
19-07-2020,33
26-07-2020,0
02-08-2020,30
09-08-2020,0
16-08-2020,0
23-08-2020,0
30-08-2020,0
06-09-2020,0
13-09-2020,13
20-09-2020,33
27-09-2020,0
04-10-2020,0
11-10-2020,39
18-10-2020,28
25-10-2020,18
01-11-2020,0
08-11-2020,0
15-11-2020,23
22-11-2020,0
29-11-2020,0
06-12-2020,21
13-12-2020,39
20-12-2020,33
27-12-2020,0
03-01-2021,0
10-01-2021,0
17-01-2021,38
24-01-2021,0
31-01-2021,0
07-02-2021,0
14-02-2021,0
21-02-2021,0
28-02-2021,40
07-03-2021,23
14-03-2021,0
21-03-2021,21
28-03-2021,0
04-04-2021,19
11-04-2021,31
18-04-2021,43
25-04-2021,0
02-05-2021,19
09-05-2021,0
16-05-2021,0
23-05-2021,63
30-05-2021,16
06-06-2021,0
13-06-2021,32
20-06-2021,0
27-06-2021,0
04-07-2021,28
11-07-2021,0
18-07-2021,18
25-07-2021,0
01-08-2021,28
08-08-2021,22
15-08-2021,0
22-08-2021,54
29-08-2021,0
05-09-2021,0
12-09-2021,0
19-09-2021,0
26-09-2021,0
03-10-2021,0
10-10-2021,52
17-10-2021,0
24-10-2021,31
31-10-2021,0
07-11-2021,0
14-11-2021,19
21-11-2021,40
28-11-2021,0
05-12-2021,36
12-12-2021,21
19-12-2021,0
26-12-2021,100
02-01-2022,0
09-01-2022,33
16-01-2022,70
23-01-2022,38
30-01-2022,19
06-02-2022,19
13-02-2022,0
20-02-2022,0
27-02-2022,19
06-03-2022,15
13-03-2022,21
20-03-2022,0
27-03-2022,0
03-04-2022,10
10-04-2022,26
17-04-2022,0
24-04-2022,0
01-05-2022,18
08-05-2022,14
15-05-2022,25
22-05-2022,0
29-05-2022,15
05-06-2022,0
12-06-2022,0
19-06-2022,18
26-06-2022,12
03-07-2022,0
10-07-2022,12
17-07-2022,0
24-07-2022,0
31-07-2022,11
07-08-2022,0
14-08-2022,0
21-08-2022,0
28-08-2022,0
04-09-2022,0
11-09-2022,0
18-09-2022,23
25-09-2022,0
02-10-2022,17
09-10-2022,33
16-10-2022,12
23-10-2022,0
30-10-2022,0
06-11-2022,26
13-11-2022,0
20-11-2022,26
27-11-2022,54
04-12-2022,41
11-12-2022,37
18-12-2022,19
25-12-2022,40
