Category: Food & Drink

Week,Aloo Methi: (Delhi)
2018-01-07,21
2018-01-14,0
2018-01-21,0
2018-01-28,29
2018-02-04,43
2018-02-11,32
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,0
2018-03-18,24
2018-03-25,0
2018-04-01,0
2018-04-08,23
2018-04-15,0
2018-04-22,0
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,41
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,65
2018-07-01,19
2018-07-08,0
2018-07-15,0
2018-07-22,0
2018-07-29,21
2018-08-05,0
2018-08-12,24
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,0
2018-09-16,0
2018-09-23,0
2018-09-30,0
2018-10-07,0
2018-10-14,60
2018-10-21,32
2018-10-28,70
2018-11-04,56
2018-11-11,53
2018-11-18,62
2018-11-25,34
2018-12-02,77
2018-12-09,47
2018-12-16,0
2018-12-23,0
2018-12-30,34
2019-01-06,61
2019-01-13,0
2019-01-20,0
2019-01-27,53
2019-02-03,0
2019-02-10,48
2019-02-17,28
2019-02-24,92
2019-03-03,81
2019-03-10,0
2019-03-17,56
2019-03-24,90
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,38
2019-05-12,0
2019-05-19,0
2019-05-26,0
2019-06-02,45
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,28
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,23
2019-10-06,0
2019-10-13,29
2019-10-20,0
2019-10-27,30
2019-11-03,57
2019-11-10,0
2019-11-17,79
2019-11-24,0
2019-12-01,32
2019-12-08,26
2019-12-15,76
2019-12-22,73
2019-12-29,0
2020-01-05,46
2020-01-12,37
2020-01-19,29
2020-01-26,36
2020-02-02,31
2020-02-09,0
2020-02-16,0
2020-02-23,43
2020-03-01,30
2020-03-08,0
2020-03-15,0
2020-03-22,34
2020-03-29,51
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,32
2020-05-03,43
2020-05-10,75
2020-05-17,0
2020-05-24,25
2020-05-31,0
2020-06-07,31
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,45
2020-08-30,0
2020-09-06,0
2020-09-13,40
2020-09-20,0
2020-09-27,0
2020-10-04,38
2020-10-11,69
2020-10-18,98
2020-10-25,55
2020-11-01,73
2020-11-08,46
2020-11-15,88
2020-11-22,51
2020-11-29,0
2020-12-06,29
2020-12-13,0
2020-12-20,49
2020-12-27,0
2021-01-03,33
2021-01-10,71
2021-01-17,0
2021-01-24,48
2021-01-31,34
2021-02-07,34
2021-02-14,28
2021-02-21,24
2021-02-28,0
2021-03-07,0
2021-03-14,37
2021-03-21,0
2021-03-28,0
2021-04-04,30
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,80
2021-06-20,0
2021-06-27,0
2021-07-04,28
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,23
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,100
2021-09-19,47
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,86
2021-11-07,0
2021-11-14,63
2021-11-21,83
2021-11-28,41
2021-12-05,34
2021-12-12,35
2021-12-19,36
2021-12-26,59
2022-01-02,36
2022-01-09,0
2022-01-16,76
2022-01-23,0
2022-01-30,25
2022-02-06,0
2022-02-13,0
2022-02-20,63
2022-02-27,0
2022-03-06,50
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,23
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,21
2022-07-03,0
2022-07-10,0
2022-07-17,17
2022-07-24,0
2022-07-31,0
2022-08-07,21
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,31
2022-09-18,0
2022-09-25,0
2022-10-02,32
2022-10-09,18
2022-10-16,0
2022-10-23,0
2022-10-30,36
2022-11-06,96
2022-11-13,39
2022-11-20,22
2022-11-27,0
2022-12-04,55
2022-12-11,0
2022-12-18,40
2022-12-25,31
