Category: Food & Drink

Week,Aloo tikki: (Delhi)
2018-01-07,26
2018-01-14,13
2018-01-21,11
2018-01-28,18
2018-02-04,15
2018-02-11,14
2018-02-18,9
2018-02-25,20
2018-03-04,13
2018-03-11,10
2018-03-18,33
2018-03-25,10
2018-04-01,5
2018-04-08,8
2018-04-15,22
2018-04-22,0
2018-04-29,21
2018-05-06,13
2018-05-13,32
2018-05-20,12
2018-05-27,38
2018-06-03,22
2018-06-10,10
2018-06-17,38
2018-06-24,5
2018-07-01,5
2018-07-08,15
2018-07-15,20
2018-07-22,14
2018-07-29,23
2018-08-05,24
2018-08-12,21
2018-08-19,31
2018-08-26,11
2018-09-02,26
2018-09-09,21
2018-09-16,0
2018-09-23,23
2018-09-30,7
2018-10-07,23
2018-10-14,33
2018-10-21,10
2018-10-28,27
2018-11-04,14
2018-11-11,30
2018-11-18,19
2018-11-25,32
2018-12-02,6
2018-12-09,11
2018-12-16,8
2018-12-23,21
2018-12-30,8
2019-01-06,20
2019-01-13,9
2019-01-20,7
2019-01-27,16
2019-02-03,6
2019-02-10,14
2019-02-17,0
2019-02-24,20
2019-03-03,8
2019-03-10,6
2019-03-17,18
2019-03-24,28
2019-03-31,33
2019-04-07,42
2019-04-14,13
2019-04-21,19
2019-04-28,24
2019-05-05,13
2019-05-12,17
2019-05-19,21
2019-05-26,18
2019-06-02,10
2019-06-09,10
2019-06-16,12
2019-06-23,15
2019-06-30,17
2019-07-07,19
2019-07-14,22
2019-07-21,17
2019-07-28,20
2019-08-04,22
2019-08-11,20
2019-08-18,20
2019-08-25,15
2019-09-01,18
2019-09-08,9
2019-09-15,23
2019-09-22,17
2019-09-29,47
2019-10-06,8
2019-10-13,7
2019-10-20,18
2019-10-27,8
2019-11-03,14
2019-11-10,15
2019-11-17,21
2019-11-24,14
2019-12-01,35
2019-12-08,14
2019-12-15,14
2019-12-22,25
2019-12-29,9
2020-01-05,11
2020-01-12,21
2020-01-19,17
2020-01-26,9
2020-02-02,14
2020-02-09,20
2020-02-16,15
2020-02-23,12
2020-03-01,19
2020-03-08,16
2020-03-15,17
2020-03-22,43
2020-03-29,66
2020-04-05,67
2020-04-12,90
2020-04-19,100
2020-04-26,94
2020-05-03,73
2020-05-10,75
2020-05-17,51
2020-05-24,47
2020-05-31,32
2020-06-07,41
2020-06-14,37
2020-06-21,35
2020-06-28,43
2020-07-05,19
2020-07-12,23
2020-07-19,37
2020-07-26,24
2020-08-02,13
2020-08-09,22
2020-08-16,15
2020-08-23,28
2020-08-30,9
2020-09-06,25
2020-09-13,12
2020-09-20,22
2020-09-27,22
2020-10-04,26
2020-10-11,24
2020-10-18,38
2020-10-25,23
2020-11-01,21
2020-11-08,25
2020-11-15,15
2020-11-22,29
2020-11-29,26
2020-12-06,16
2020-12-13,14
2020-12-20,16
2020-12-27,24
2021-01-03,29
2021-01-10,35
2021-01-17,49
2021-01-24,42
2021-01-31,32
2021-02-07,24
2021-02-14,25
2021-02-21,19
2021-02-28,33
2021-03-07,21
2021-03-14,17
2021-03-21,29
2021-03-28,31
2021-04-04,31
2021-04-11,26
2021-04-18,37
2021-04-25,24
2021-05-02,33
2021-05-09,54
2021-05-16,28
2021-05-23,48
2021-05-30,17
2021-06-06,25
2021-06-13,19
2021-06-20,13
2021-06-27,18
2021-07-04,7
2021-07-11,14
2021-07-18,13
2021-07-25,16
2021-08-01,28
2021-08-08,19
2021-08-15,11
2021-08-22,16
2021-08-29,28
2021-09-05,19
2021-09-12,0
2021-09-19,0
2021-09-26,21
2021-10-03,0
2021-10-10,22
2021-10-17,6
2021-10-24,6
2021-10-31,11
2021-11-07,0
2021-11-14,7
2021-11-21,22
2021-11-28,15
2021-12-05,19
2021-12-12,24
2021-12-19,18
2021-12-26,22
2022-01-02,28
2022-01-09,24
2022-01-16,8
2022-01-23,21
2022-01-30,21
2022-02-06,9
2022-02-13,15
2022-02-20,26
2022-02-27,22
2022-03-06,20
2022-03-13,22
2022-03-20,13
2022-03-27,19
2022-04-03,51
2022-04-10,22
2022-04-17,21
2022-04-24,18
2022-05-01,18
2022-05-08,24
2022-05-15,28
2022-05-22,7
2022-05-29,34
2022-06-05,17
2022-06-12,15
2022-06-19,21
2022-06-26,18
2022-07-03,15
2022-07-10,30
2022-07-17,16
2022-07-24,22
2022-07-31,29
2022-08-07,16
2022-08-14,25
2022-08-21,15
2022-08-28,17
2022-09-04,16
2022-09-11,18
2022-09-18,13
2022-09-25,36
2022-10-02,16
2022-10-09,17
2022-10-16,24
2022-10-23,18
2022-10-30,9
2022-11-06,13
2022-11-13,11
2022-11-20,12
2022-11-27,14
2022-12-04,18
2022-12-11,22
2022-12-18,17
2022-12-25,32
