Category: Food & Drink

Week,Apple: (Delhi)
2018-01-07,36
2018-01-14,45
2018-01-21,30
2018-01-28,35
2018-02-04,43
2018-02-11,28
2018-02-18,38
2018-02-25,48
2018-03-04,37
2018-03-11,32
2018-03-18,25
2018-03-25,43
2018-04-01,34
2018-04-08,27
2018-04-15,37
2018-04-22,30
2018-04-29,23
2018-05-06,25
2018-05-13,50
2018-05-20,44
2018-05-27,35
2018-06-03,24
2018-06-10,45
2018-06-17,39
2018-06-24,38
2018-07-01,47
2018-07-08,31
2018-07-15,37
2018-07-22,39
2018-07-29,43
2018-08-05,41
2018-08-12,35
2018-08-19,48
2018-08-26,22
2018-09-02,47
2018-09-09,56
2018-09-16,53
2018-09-23,49
2018-09-30,69
2018-10-07,56
2018-10-14,38
2018-10-21,40
2018-10-28,40
2018-11-04,42
2018-11-11,51
2018-11-18,29
2018-11-25,53
2018-12-02,37
2018-12-09,42
2018-12-16,31
2018-12-23,51
2018-12-30,31
2019-01-06,33
2019-01-13,26
2019-01-20,31
2019-01-27,37
2019-02-03,36
2019-02-10,37
2019-02-17,33
2019-02-24,29
2019-03-03,32
2019-03-10,48
2019-03-17,35
2019-03-24,36
2019-03-31,27
2019-04-07,43
2019-04-14,24
2019-04-21,53
2019-04-28,16
2019-05-05,41
2019-05-12,39
2019-05-19,44
2019-05-26,44
2019-06-02,59
2019-06-09,31
2019-06-16,57
2019-06-23,37
2019-06-30,57
2019-07-07,46
2019-07-14,47
2019-07-21,31
2019-07-28,26
2019-08-04,58
2019-08-11,47
2019-08-18,43
2019-08-25,72
2019-09-01,43
2019-09-08,51
2019-09-15,77
2019-09-22,48
2019-09-29,68
2019-10-06,46
2019-10-13,70
2019-10-20,59
2019-10-27,44
2019-11-03,60
2019-11-10,46
2019-11-17,57
2019-11-24,45
2019-12-01,19
2019-12-08,56
2019-12-15,33
2019-12-22,32
2019-12-29,52
2020-01-05,18
2020-01-12,46
2020-01-19,28
2020-01-26,41
2020-02-02,40
2020-02-09,40
2020-02-16,38
2020-02-23,29
2020-03-01,33
2020-03-08,25
2020-03-15,37
2020-03-22,36
2020-03-29,58
2020-04-05,56
2020-04-12,83
2020-04-19,85
2020-04-26,60
2020-05-03,53
2020-05-10,84
2020-05-17,56
2020-05-24,59
2020-05-31,74
2020-06-07,42
2020-06-14,52
2020-06-21,70
2020-06-28,50
2020-07-05,49
2020-07-12,40
2020-07-19,43
2020-07-26,44
2020-08-02,32
2020-08-09,21
2020-08-16,51
2020-08-23,64
2020-08-30,64
2020-09-06,75
2020-09-13,61
2020-09-20,61
2020-09-27,100
2020-10-04,60
2020-10-11,73
2020-10-18,78
2020-10-25,71
2020-11-01,62
2020-11-08,45
2020-11-15,66
2020-11-22,78
2020-11-29,52
2020-12-06,55
2020-12-13,58
2020-12-20,46
2020-12-27,59
2021-01-03,55
2021-01-10,38
2021-01-17,44
2021-01-24,39
2021-01-31,28
2021-02-07,44
2021-02-14,71
2021-02-21,43
2021-02-28,50
2021-03-07,53
2021-03-14,43
2021-03-21,40
2021-03-28,63
2021-04-04,50
2021-04-11,54
2021-04-18,30
2021-04-25,52
2021-05-02,56
2021-05-09,42
2021-05-16,55
2021-05-23,53
2021-05-30,58
2021-06-06,47
2021-06-13,59
2021-06-20,57
2021-06-27,47
2021-07-04,39
2021-07-11,71
2021-07-18,39
2021-07-25,60
2021-08-01,58
2021-08-08,35
2021-08-15,60
2021-08-22,44
2021-08-29,41
2021-09-05,50
2021-09-12,58
2021-09-19,62
2021-09-26,44
2021-10-03,47
2021-10-10,65
2021-10-17,51
2021-10-24,33
2021-10-31,42
2021-11-07,37
2021-11-14,46
2021-11-21,31
2021-11-28,66
2021-12-05,51
2021-12-12,53
2021-12-19,40
2021-12-26,40
2022-01-02,46
2022-01-09,25
2022-01-16,35
2022-01-23,59
2022-01-30,36
2022-02-06,45
2022-02-13,38
2022-02-20,47
2022-02-27,48
2022-03-06,44
2022-03-13,39
2022-03-20,39
2022-03-27,44
2022-04-03,45
2022-04-10,42
2022-04-17,37
2022-04-24,54
2022-05-01,43
2022-05-08,42
2022-05-15,39
2022-05-22,30
2022-05-29,39
2022-06-05,47
2022-06-12,36
2022-06-19,48
2022-06-26,36
2022-07-03,50
2022-07-10,24
2022-07-17,41
2022-07-24,48
2022-07-31,63
2022-08-07,54
2022-08-14,57
2022-08-21,60
2022-08-28,54
2022-09-04,63
2022-09-11,74
2022-09-18,64
2022-09-25,68
2022-10-02,66
2022-10-09,38
2022-10-16,46
2022-10-23,39
2022-10-30,46
2022-11-06,38
2022-11-13,31
2022-11-20,65
2022-11-27,63
2022-12-04,39
2022-12-11,41
2022-12-18,49
2022-12-25,52
