Category: Food & Drink

Week,Banana: (Delhi)
2018-01-07,26
2018-01-14,24
2018-01-21,25
2018-01-28,25
2018-02-04,25
2018-02-11,19
2018-02-18,30
2018-02-25,32
2018-03-04,28
2018-03-11,34
2018-03-18,32
2018-03-25,32
2018-04-01,33
2018-04-08,36
2018-04-15,35
2018-04-22,26
2018-04-29,31
2018-05-06,37
2018-05-13,26
2018-05-20,37
2018-05-27,26
2018-06-03,28
2018-06-10,40
2018-06-17,31
2018-06-24,30
2018-07-01,33
2018-07-08,25
2018-07-15,35
2018-07-22,30
2018-07-29,31
2018-08-05,33
2018-08-12,31
2018-08-19,35
2018-08-26,29
2018-09-02,37
2018-09-09,36
2018-09-16,37
2018-09-23,37
2018-09-30,37
2018-10-07,36
2018-10-14,23
2018-10-21,30
2018-10-28,29
2018-11-04,30
2018-11-11,25
2018-11-18,26
2018-11-25,32
2018-12-02,32
2018-12-09,28
2018-12-16,26
2018-12-23,28
2018-12-30,31
2019-01-06,26
2019-01-13,31
2019-01-20,30
2019-01-27,31
2019-02-03,26
2019-02-10,29
2019-02-17,25
2019-02-24,33
2019-03-03,28
2019-03-10,29
2019-03-17,42
2019-03-24,29
2019-03-31,30
2019-04-07,36
2019-04-14,31
2019-04-21,28
2019-04-28,34
2019-05-05,35
2019-05-12,31
2019-05-19,30
2019-05-26,36
2019-06-02,33
2019-06-09,29
2019-06-16,36
2019-06-23,38
2019-06-30,30
2019-07-07,33
2019-07-14,33
2019-07-21,36
2019-07-28,37
2019-08-04,32
2019-08-11,34
2019-08-18,35
2019-08-25,30
2019-09-01,32
2019-09-08,36
2019-09-15,29
2019-09-22,28
2019-09-29,30
2019-10-06,30
2019-10-13,25
2019-10-20,27
2019-10-27,28
2019-11-03,27
2019-11-10,25
2019-11-17,25
2019-11-24,31
2019-12-01,31
2019-12-08,28
2019-12-15,25
2019-12-22,27
2019-12-29,29
2020-01-05,25
2020-01-12,30
2020-01-19,28
2020-01-26,26
2020-02-02,26
2020-02-09,24
2020-02-16,32
2020-02-23,27
2020-03-01,26
2020-03-08,42
2020-03-15,31
2020-03-22,47
2020-03-29,58
2020-04-05,84
2020-04-12,92
2020-04-19,100
2020-04-26,85
2020-05-03,89
2020-05-10,76
2020-05-17,76
2020-05-24,58
2020-05-31,53
2020-06-07,46
2020-06-14,47
2020-06-21,47
2020-06-28,47
2020-07-05,38
2020-07-12,40
2020-07-19,46
2020-07-26,40
2020-08-02,31
2020-08-09,47
2020-08-16,34
2020-08-23,34
2020-08-30,43
2020-09-06,32
2020-09-13,31
2020-09-20,31
2020-09-27,39
2020-10-04,38
2020-10-11,28
2020-10-18,35
2020-10-25,29
2020-11-01,26
2020-11-08,30
2020-11-15,26
2020-11-22,31
2020-11-29,28
2020-12-06,27
2020-12-13,20
2020-12-20,26
2020-12-27,31
2021-01-03,24
2021-01-10,37
2021-01-17,27
2021-01-24,23
2021-01-31,28
2021-02-07,24
2021-02-14,22
2021-02-21,28
2021-02-28,32
2021-03-07,30
2021-03-14,31
2021-03-21,32
2021-03-28,33
2021-04-04,30
2021-04-11,37
2021-04-18,31
2021-04-25,31
2021-05-02,39
2021-05-09,37
2021-05-16,33
2021-05-23,34
2021-05-30,45
2021-06-06,35
2021-06-13,28
2021-06-20,28
2021-06-27,26
2021-07-04,27
2021-07-11,28
2021-07-18,27
2021-07-25,25
2021-08-01,29
2021-08-08,21
2021-08-15,28
2021-08-22,25
2021-08-29,28
2021-09-05,29
2021-09-12,27
2021-09-19,23
2021-09-26,13
2021-10-03,13
2021-10-10,21
2021-10-17,23
2021-10-24,19
2021-10-31,23
2021-11-07,15
2021-11-14,21
2021-11-21,20
2021-11-28,20
2021-12-05,17
2021-12-12,16
2021-12-19,17
2021-12-26,21
2022-01-02,32
2022-01-09,33
2022-01-16,34
2022-01-23,38
2022-01-30,27
2022-02-06,36
2022-02-13,36
2022-02-20,30
2022-02-27,36
2022-03-06,35
2022-03-13,39
2022-03-20,40
2022-03-27,32
2022-04-03,34
2022-04-10,35
2022-04-17,40
2022-04-24,42
2022-05-01,30
2022-05-08,36
2022-05-15,33
2022-05-22,36
2022-05-29,37
2022-06-05,34
2022-06-12,36
2022-06-19,37
2022-06-26,29
2022-07-03,33
2022-07-10,38
2022-07-17,38
2022-07-24,32
2022-07-31,32
2022-08-07,30
2022-08-14,34
2022-08-21,34
2022-08-28,36
2022-09-04,36
2022-09-11,36
2022-09-18,38
2022-09-25,32
2022-10-02,30
2022-10-09,31
2022-10-16,23
2022-10-23,25
2022-10-30,26
2022-11-06,26
2022-11-13,29
2022-11-20,26
2022-11-27,22
2022-12-04,24
2022-12-11,26
2022-12-18,28
2022-12-25,23
