Category: Food & Drink

Week,Cereal: (Delhi)
2018-01-07,28
2018-01-14,20
2018-01-21,24
2018-01-28,30
2018-02-04,0
2018-02-11,0
2018-02-18,25
2018-02-25,19
2018-03-04,10
2018-03-11,0
2018-03-18,0
2018-03-25,31
2018-04-01,56
2018-04-08,0
2018-04-15,55
2018-04-22,35
2018-04-29,23
2018-05-06,39
2018-05-13,21
2018-05-20,0
2018-05-27,20
2018-06-03,12
2018-06-10,33
2018-06-17,22
2018-06-24,12
2018-07-01,65
2018-07-08,44
2018-07-15,19
2018-07-22,11
2018-07-29,32
2018-08-05,60
2018-08-12,62
2018-08-19,62
2018-08-26,28
2018-09-02,33
2018-09-09,41
2018-09-16,39
2018-09-23,20
2018-09-30,12
2018-10-07,13
2018-10-14,45
2018-10-21,31
2018-10-28,0
2018-11-04,18
2018-11-11,25
2018-11-18,26
2018-11-25,20
2018-12-02,17
2018-12-09,0
2018-12-16,23
2018-12-23,28
2018-12-30,11
2019-01-06,27
2019-01-13,0
2019-01-20,32
2019-01-27,33
2019-02-03,10
2019-02-10,26
2019-02-17,20
2019-02-24,25
2019-03-03,31
2019-03-10,19
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,12
2019-04-14,0
2019-04-21,0
2019-04-28,39
2019-05-05,47
2019-05-12,24
2019-05-19,29
2019-05-26,35
2019-06-02,23
2019-06-09,0
2019-06-16,30
2019-06-23,39
2019-06-30,26
2019-07-07,41
2019-07-14,17
2019-07-21,35
2019-07-28,65
2019-08-04,0
2019-08-11,21
2019-08-18,34
2019-08-25,41
2019-09-01,26
2019-09-08,39
2019-09-15,17
2019-09-22,40
2019-09-29,27
2019-10-06,0
2019-10-13,13
2019-10-20,18
2019-10-27,14
2019-11-03,11
2019-11-10,45
2019-11-17,43
2019-11-24,64
2019-12-01,25
2019-12-08,25
2019-12-15,10
2019-12-22,0
2019-12-29,0
2020-01-05,21
2020-01-12,0
2020-01-19,19
2020-01-26,19
2020-02-02,24
2020-02-09,20
2020-02-16,27
2020-02-23,23
2020-03-01,25
2020-03-08,56
2020-03-15,36
2020-03-22,23
2020-03-29,48
2020-04-05,42
2020-04-12,42
2020-04-19,42
2020-04-26,30
2020-05-03,17
2020-05-10,54
2020-05-17,44
2020-05-24,34
2020-05-31,24
2020-06-07,0
2020-06-14,53
2020-06-21,61
2020-06-28,36
2020-07-05,47
2020-07-12,39
2020-07-19,74
2020-07-26,13
2020-08-02,24
2020-08-09,20
2020-08-16,39
2020-08-23,0
2020-08-30,22
2020-09-06,40
2020-09-13,0
2020-09-20,39
2020-09-27,17
2020-10-04,17
2020-10-11,19
2020-10-18,35
2020-10-25,100
2020-11-01,20
2020-11-08,45
2020-11-15,0
2020-11-22,37
2020-11-29,23
2020-12-06,0
2020-12-13,32
2020-12-20,32
2020-12-27,20
2021-01-03,0
2021-01-10,25
2021-01-17,32
2021-01-24,43
2021-01-31,22
2021-02-07,26
2021-02-14,46
2021-02-21,15
2021-02-28,28
2021-03-07,13
2021-03-14,0
2021-03-21,13
2021-03-28,34
2021-04-04,42
2021-04-11,59
2021-04-18,23
2021-04-25,14
2021-05-02,28
2021-05-09,28
2021-05-16,0
2021-05-23,53
2021-05-30,60
2021-06-06,30
2021-06-13,46
2021-06-20,35
2021-06-27,21
2021-07-04,31
2021-07-11,23
2021-07-18,58
2021-07-25,52
2021-08-01,12
2021-08-08,33
2021-08-15,14
2021-08-22,31
2021-08-29,16
2021-09-05,37
2021-09-12,40
2021-09-19,36
2021-09-26,45
2021-10-03,40
2021-10-10,47
2021-10-17,31
2021-10-24,38
2021-10-31,32
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,73
2021-12-05,34
2021-12-12,0
2021-12-19,19
2021-12-26,0
2022-01-02,43
2022-01-09,28
2022-01-16,54
2022-01-23,37
2022-01-30,14
2022-02-06,29
2022-02-13,15
2022-02-20,52
2022-02-27,43
2022-03-06,30
2022-03-13,35
2022-03-20,46
2022-03-27,45
2022-04-03,27
2022-04-10,32
2022-04-17,23
2022-04-24,39
2022-05-01,51
2022-05-08,28
2022-05-15,37
2022-05-22,27
2022-05-29,0
2022-06-05,16
2022-06-12,29
2022-06-19,26
2022-06-26,29
2022-07-03,53
2022-07-10,14
2022-07-17,44
2022-07-24,24
2022-07-31,41
2022-08-07,43
2022-08-14,45
2022-08-21,40
2022-08-28,38
2022-09-04,25
2022-09-11,9
2022-09-18,35
2022-09-25,35
2022-10-02,17
2022-10-09,15
2022-10-16,21
2022-10-23,23
2022-10-30,41
2022-11-06,0
2022-11-13,17
2022-11-20,24
2022-11-27,26
2022-12-04,38
2022-12-11,50
2022-12-18,0
2022-12-25,33
