Category: Food & Drink

Week,Chana masala: (Delhi)
2018-01-07,17
2018-01-14,18
2018-01-21,27
2018-01-28,33
2018-02-04,48
2018-02-11,25
2018-02-18,34
2018-02-25,28
2018-03-04,32
2018-03-11,56
2018-03-18,31
2018-03-25,30
2018-04-01,38
2018-04-08,28
2018-04-15,34
2018-04-22,47
2018-04-29,19
2018-05-06,18
2018-05-13,46
2018-05-20,24
2018-05-27,21
2018-06-03,36
2018-06-10,38
2018-06-17,52
2018-06-24,39
2018-07-01,36
2018-07-08,44
2018-07-15,50
2018-07-22,37
2018-07-29,33
2018-08-05,33
2018-08-12,39
2018-08-19,44
2018-08-26,20
2018-09-02,40
2018-09-09,65
2018-09-16,40
2018-09-23,29
2018-09-30,42
2018-10-07,26
2018-10-14,50
2018-10-21,37
2018-10-28,22
2018-11-04,65
2018-11-11,33
2018-11-18,11
2018-11-25,19
2018-12-02,26
2018-12-09,34
2018-12-16,51
2018-12-23,18
2018-12-30,49
2019-01-06,7
2019-01-13,36
2019-01-20,34
2019-01-27,33
2019-02-03,6
2019-02-10,32
2019-02-17,28
2019-02-24,39
2019-03-03,18
2019-03-10,20
2019-03-17,44
2019-03-24,31
2019-03-31,0
2019-04-07,38
2019-04-14,53
2019-04-21,20
2019-04-28,22
2019-05-05,52
2019-05-12,38
2019-05-19,32
2019-05-26,31
2019-06-02,41
2019-06-09,33
2019-06-16,18
2019-06-23,33
2019-06-30,21
2019-07-07,41
2019-07-14,34
2019-07-21,44
2019-07-28,38
2019-08-04,75
2019-08-11,32
2019-08-18,38
2019-08-25,24
2019-09-01,40
2019-09-08,22
2019-09-15,34
2019-09-22,37
2019-09-29,16
2019-10-06,61
2019-10-13,21
2019-10-20,30
2019-10-27,48
2019-11-03,25
2019-11-10,26
2019-11-17,34
2019-11-24,41
2019-12-01,0
2019-12-08,13
2019-12-15,33
2019-12-22,40
2019-12-29,31
2020-01-05,28
2020-01-12,28
2020-01-19,27
2020-01-26,29
2020-02-02,44
2020-02-09,30
2020-02-16,29
2020-02-23,17
2020-03-01,38
2020-03-08,39
2020-03-15,34
2020-03-22,58
2020-03-29,61
2020-04-05,76
2020-04-12,83
2020-04-19,82
2020-04-26,100
2020-05-03,95
2020-05-10,76
2020-05-17,75
2020-05-24,61
2020-05-31,55
2020-06-07,55
2020-06-14,34
2020-06-21,57
2020-06-28,46
2020-07-05,35
2020-07-12,46
2020-07-19,62
2020-07-26,44
2020-08-02,45
2020-08-09,38
2020-08-16,42
2020-08-23,48
2020-08-30,39
2020-09-06,42
2020-09-13,34
2020-09-20,25
2020-09-27,89
2020-10-04,25
2020-10-11,48
2020-10-18,23
2020-10-25,12
2020-11-01,19
2020-11-08,34
2020-11-15,30
2020-11-22,22
2020-11-29,38
2020-12-06,56
2020-12-13,23
2020-12-20,33
2020-12-27,55
2021-01-03,19
2021-01-10,34
2021-01-17,42
2021-01-24,39
2021-01-31,39
2021-02-07,36
2021-02-14,50
2021-02-21,34
2021-02-28,33
2021-03-07,37
2021-03-14,21
2021-03-21,40
2021-03-28,54
2021-04-04,24
2021-04-11,22
2021-04-18,25
2021-04-25,43
2021-05-02,55
2021-05-09,56
2021-05-16,47
2021-05-23,45
2021-05-30,49
2021-06-06,84
2021-06-13,24
2021-06-20,49
2021-06-27,33
2021-07-04,41
2021-07-11,41
2021-07-18,28
2021-07-25,48
2021-08-01,17
2021-08-08,53
2021-08-15,29
2021-08-22,20
2021-08-29,16
2021-09-05,33
2021-09-12,27
2021-09-19,36
2021-09-26,30
2021-10-03,34
2021-10-10,25
2021-10-17,24
2021-10-24,0
2021-10-31,44
2021-11-07,17
2021-11-14,32
2021-11-21,24
2021-11-28,12
2021-12-05,34
2021-12-12,18
2021-12-19,51
2021-12-26,33
2022-01-02,33
2022-01-09,37
2022-01-16,35
2022-01-23,35
2022-01-30,27
2022-02-06,23
2022-02-13,41
2022-02-20,22
2022-02-27,37
2022-03-06,24
2022-03-13,25
2022-03-20,39
2022-03-27,37
2022-04-03,32
2022-04-10,54
2022-04-17,16
2022-04-24,30
2022-05-01,46
2022-05-08,28
2022-05-15,29
2022-05-22,32
2022-05-29,37
2022-06-05,20
2022-06-12,38
2022-06-19,24
2022-06-26,23
2022-07-03,47
2022-07-10,32
2022-07-17,46
2022-07-24,29
2022-07-31,36
2022-08-07,21
2022-08-14,39
2022-08-21,39
2022-08-28,23
2022-09-04,25
2022-09-11,26
2022-09-18,32
2022-09-25,31
2022-10-02,37
2022-10-09,37
2022-10-16,38
2022-10-23,39
2022-10-30,14
2022-11-06,30
2022-11-13,43
2022-11-20,27
2022-11-27,29
2022-12-04,25
2022-12-11,25
2022-12-18,28
2022-12-25,30
