Category: Food & Drink

Week,Cheela: (Delhi)
2018-01-07,46
2018-01-14,26
2018-01-21,28
2018-01-28,0
2018-02-04,21
2018-02-11,79
2018-02-18,22
2018-02-25,28
2018-03-04,17
2018-03-11,9
2018-03-18,22
2018-03-25,24
2018-04-01,18
2018-04-08,28
2018-04-15,11
2018-04-22,0
2018-04-29,20
2018-05-06,37
2018-05-13,43
2018-05-20,13
2018-05-27,42
2018-06-03,25
2018-06-10,0
2018-06-17,24
2018-06-24,30
2018-07-01,22
2018-07-08,42
2018-07-15,26
2018-07-22,16
2018-07-29,35
2018-08-05,11
2018-08-12,26
2018-08-19,20
2018-08-26,27
2018-09-02,30
2018-09-09,30
2018-09-16,71
2018-09-23,54
2018-09-30,25
2018-10-07,0
2018-10-14,0
2018-10-21,17
2018-10-28,9
2018-11-04,0
2018-11-11,21
2018-11-18,35
2018-11-25,16
2018-12-02,16
2018-12-09,0
2018-12-16,20
2018-12-23,0
2018-12-30,14
2019-01-06,15
2019-01-13,13
2019-01-20,10
2019-01-27,32
2019-02-03,15
2019-02-10,41
2019-02-17,19
2019-02-24,12
2019-03-03,16
2019-03-10,53
2019-03-17,40
2019-03-24,0
2019-03-31,25
2019-04-07,28
2019-04-14,0
2019-04-21,21
2019-04-28,45
2019-05-05,17
2019-05-12,26
2019-05-19,28
2019-05-26,19
2019-06-02,20
2019-06-09,16
2019-06-16,26
2019-06-23,46
2019-06-30,42
2019-07-07,23
2019-07-14,12
2019-07-21,21
2019-07-28,23
2019-08-04,31
2019-08-11,34
2019-08-18,20
2019-08-25,17
2019-09-01,24
2019-09-08,14
2019-09-15,19
2019-09-22,16
2019-09-29,41
2019-10-06,0
2019-10-13,29
2019-10-20,26
2019-10-27,21
2019-11-03,10
2019-11-10,14
2019-11-17,0
2019-11-24,21
2019-12-01,37
2019-12-08,18
2019-12-15,20
2019-12-22,24
2019-12-29,29
2020-01-05,36
2020-01-12,30
2020-01-19,18
2020-01-26,17
2020-02-02,25
2020-02-09,0
2020-02-16,32
2020-02-23,17
2020-03-01,26
2020-03-08,32
2020-03-15,22
2020-03-22,82
2020-03-29,33
2020-04-05,92
2020-04-12,79
2020-04-19,97
2020-04-26,49
2020-05-03,28
2020-05-10,45
2020-05-17,46
2020-05-24,60
2020-05-31,63
2020-06-07,20
2020-06-14,73
2020-06-21,11
2020-06-28,38
2020-07-05,35
2020-07-12,58
2020-07-19,33
2020-07-26,27
2020-08-02,31
2020-08-09,0
2020-08-16,48
2020-08-23,29
2020-08-30,58
2020-09-06,37
2020-09-13,23
2020-09-20,25
2020-09-27,31
2020-10-04,9
2020-10-11,34
2020-10-18,26
2020-10-25,16
2020-11-01,38
2020-11-08,0
2020-11-15,39
2020-11-22,19
2020-11-29,26
2020-12-06,27
2020-12-13,16
2020-12-20,11
2020-12-27,0
2021-01-03,35
2021-01-10,19
2021-01-17,17
2021-01-24,18
2021-01-31,18
2021-02-07,42
2021-02-14,24
2021-02-21,0
2021-02-28,72
2021-03-07,24
2021-03-14,36
2021-03-21,20
2021-03-28,27
2021-04-04,34
2021-04-11,19
2021-04-18,12
2021-04-25,48
2021-05-02,50
2021-05-09,44
2021-05-16,46
2021-05-23,42
2021-05-30,63
2021-06-06,14
2021-06-13,20
2021-06-20,0
2021-06-27,18
2021-07-04,15
2021-07-11,17
2021-07-18,23
2021-07-25,37
2021-08-01,0
2021-08-08,14
2021-08-15,25
2021-08-22,40
2021-08-29,13
2021-09-05,64
2021-09-12,30
2021-09-19,27
2021-09-26,30
2021-10-03,39
2021-10-10,31
2021-10-17,31
2021-10-24,12
2021-10-31,0
2021-11-07,100
2021-11-14,0
2021-11-21,0
2021-11-28,12
2021-12-05,17
2021-12-12,16
2021-12-19,20
2021-12-26,36
2022-01-02,44
2022-01-09,19
2022-01-16,23
2022-01-23,25
2022-01-30,29
2022-02-06,35
2022-02-13,12
2022-02-20,0
2022-02-27,24
2022-03-06,29
2022-03-13,26
2022-03-20,27
2022-03-27,31
2022-04-03,31
2022-04-10,0
2022-04-17,37
2022-04-24,19
2022-05-01,20
2022-05-08,24
2022-05-15,25
2022-05-22,21
2022-05-29,0
2022-06-05,17
2022-06-12,0
2022-06-19,15
2022-06-26,20
2022-07-03,45
2022-07-10,26
2022-07-17,29
2022-07-24,31
2022-07-31,40
2022-08-07,19
2022-08-14,19
2022-08-21,30
2022-08-28,32
2022-09-04,39
2022-09-11,32
2022-09-18,35
2022-09-25,12
2022-10-02,17
2022-10-09,17
2022-10-16,0
2022-10-23,15
2022-10-30,0
2022-11-06,31
2022-11-13,13
2022-11-20,18
2022-11-27,20
2022-12-04,18
2022-12-11,40
2022-12-18,29
2022-12-25,17
