Category: Food & Drink

Week,Chicken tikka masala: (Delhi)
2018-01-07,0
2018-01-14,26
2018-01-21,28
2018-01-28,39
2018-02-04,25
2018-02-11,32
2018-02-18,14
2018-02-25,28
2018-03-04,68
2018-03-11,20
2018-03-18,15
2018-03-25,43
2018-04-01,14
2018-04-08,30
2018-04-15,19
2018-04-22,24
2018-04-29,33
2018-05-06,21
2018-05-13,20
2018-05-20,58
2018-05-27,33
2018-06-03,26
2018-06-10,60
2018-06-17,35
2018-06-24,13
2018-07-01,18
2018-07-08,0
2018-07-15,0
2018-07-22,54
2018-07-29,16
2018-08-05,38
2018-08-12,0
2018-08-19,15
2018-08-26,33
2018-09-02,25
2018-09-09,17
2018-09-16,23
2018-09-23,0
2018-09-30,0
2018-10-07,21
2018-10-14,17
2018-10-21,47
2018-10-28,34
2018-11-04,47
2018-11-11,28
2018-11-18,0
2018-11-25,32
2018-12-02,34
2018-12-09,26
2018-12-16,21
2018-12-23,42
2018-12-30,55
2019-01-06,46
2019-01-13,29
2019-01-20,55
2019-01-27,56
2019-02-03,27
2019-02-10,32
2019-02-17,17
2019-02-24,0
2019-03-03,39
2019-03-10,15
2019-03-17,36
2019-03-24,12
2019-03-31,0
2019-04-07,43
2019-04-14,0
2019-04-21,22
2019-04-28,51
2019-05-05,24
2019-05-12,0
2019-05-19,17
2019-05-26,35
2019-06-02,0
2019-06-09,12
2019-06-16,28
2019-06-23,26
2019-06-30,0
2019-07-07,27
2019-07-14,24
2019-07-21,0
2019-07-28,28
2019-08-04,48
2019-08-11,13
2019-08-18,0
2019-08-25,12
2019-09-01,46
2019-09-08,23
2019-09-15,37
2019-09-22,0
2019-09-29,0
2019-10-06,41
2019-10-13,0
2019-10-20,41
2019-10-27,34
2019-11-03,0
2019-11-10,15
2019-11-17,13
2019-11-24,36
2019-12-01,37
2019-12-08,22
2019-12-15,36
2019-12-22,13
2019-12-29,44
2020-01-05,0
2020-01-12,20
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,18
2020-02-16,19
2020-02-23,21
2020-03-01,17
2020-03-08,0
2020-03-15,55
2020-03-22,26
2020-03-29,35
2020-04-05,46
2020-04-12,33
2020-04-19,86
2020-04-26,62
2020-05-03,39
2020-05-10,59
2020-05-17,75
2020-05-24,28
2020-05-31,0
2020-06-07,37
2020-06-14,29
2020-06-21,52
2020-06-28,0
2020-07-05,12
2020-07-12,58
2020-07-19,19
2020-07-26,25
2020-08-02,35
2020-08-09,41
2020-08-16,52
2020-08-23,14
2020-08-30,16
2020-09-06,22
2020-09-13,22
2020-09-20,24
2020-09-27,0
2020-10-04,36
2020-10-11,0
2020-10-18,0
2020-10-25,25
2020-11-01,0
2020-11-08,37
2020-11-15,13
2020-11-22,55
2020-11-29,19
2020-12-06,16
2020-12-13,18
2020-12-20,22
2020-12-27,58
2021-01-03,0
2021-01-10,0
2021-01-17,46
2021-01-24,0
2021-01-31,0
2021-02-07,23
2021-02-14,23
2021-02-21,0
2021-02-28,43
2021-03-07,18
2021-03-14,33
2021-03-21,0
2021-03-28,51
2021-04-04,14
2021-04-11,20
2021-04-18,16
2021-04-25,0
2021-05-02,0
2021-05-09,100
2021-05-16,0
2021-05-23,41
2021-05-30,25
2021-06-06,0
2021-06-13,33
2021-06-20,58
2021-06-27,0
2021-07-04,27
2021-07-11,14
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,27
2021-08-22,0
2021-08-29,39
2021-09-05,28
2021-09-12,0
2021-09-19,43
2021-09-26,0
2021-10-03,26
2021-10-10,57
2021-10-17,16
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,36
2021-11-28,23
2021-12-05,0
2021-12-12,0
2021-12-19,46
2021-12-26,38
2022-01-02,24
2022-01-09,0
2022-01-16,37
2022-01-23,42
2022-01-30,0
2022-02-06,15
2022-02-13,19
2022-02-20,18
2022-02-27,15
2022-03-06,14
2022-03-13,23
2022-03-20,0
2022-03-27,0
2022-04-03,20
2022-04-10,26
2022-04-17,29
2022-04-24,19
2022-05-01,0
2022-05-08,26
2022-05-15,13
2022-05-22,23
2022-05-29,35
2022-06-05,12
2022-06-12,0
2022-06-19,41
2022-06-26,85
2022-07-03,0
2022-07-10,37
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,14
2022-08-14,24
2022-08-21,31
2022-08-28,10
2022-09-04,15
2022-09-11,0
2022-09-18,11
2022-09-25,15
2022-10-02,11
2022-10-09,27
2022-10-16,27
2022-10-23,50
2022-10-30,42
2022-11-06,21
2022-11-13,50
2022-11-20,0
2022-11-27,52
2022-12-04,30
2022-12-11,51
2022-12-18,59
2022-12-25,36
