Category: Food & Drink

Week,Chole bhature: (Delhi)
2018-01-07,31
2018-01-14,7
2018-01-21,22
2018-01-28,25
2018-02-04,18
2018-02-11,25
2018-02-18,29
2018-02-25,24
2018-03-04,27
2018-03-11,28
2018-03-18,32
2018-03-25,28
2018-04-01,30
2018-04-08,39
2018-04-15,23
2018-04-22,24
2018-04-29,33
2018-05-06,21
2018-05-13,27
2018-05-20,26
2018-05-27,33
2018-06-03,22
2018-06-10,33
2018-06-17,31
2018-06-24,27
2018-07-01,21
2018-07-08,29
2018-07-15,31
2018-07-22,27
2018-07-29,36
2018-08-05,27
2018-08-12,28
2018-08-19,46
2018-08-26,19
2018-09-02,27
2018-09-09,25
2018-09-16,31
2018-09-23,26
2018-09-30,29
2018-10-07,23
2018-10-14,38
2018-10-21,28
2018-10-28,15
2018-11-04,27
2018-11-11,20
2018-11-18,20
2018-11-25,28
2018-12-02,31
2018-12-09,25
2018-12-16,23
2018-12-23,11
2018-12-30,18
2019-01-06,24
2019-01-13,26
2019-01-20,33
2019-01-27,20
2019-02-03,17
2019-02-10,23
2019-02-17,30
2019-02-24,24
2019-03-03,22
2019-03-10,23
2019-03-17,33
2019-03-24,17
2019-03-31,24
2019-04-07,18
2019-04-14,21
2019-04-21,22
2019-04-28,33
2019-05-05,28
2019-05-12,34
2019-05-19,27
2019-05-26,21
2019-06-02,28
2019-06-09,32
2019-06-16,16
2019-06-23,26
2019-06-30,34
2019-07-07,37
2019-07-14,32
2019-07-21,44
2019-07-28,39
2019-08-04,42
2019-08-11,45
2019-08-18,29
2019-08-25,25
2019-09-01,23
2019-09-08,37
2019-09-15,33
2019-09-22,38
2019-09-29,32
2019-10-06,39
2019-10-13,29
2019-10-20,29
2019-10-27,34
2019-11-03,36
2019-11-10,35
2019-11-17,37
2019-11-24,23
2019-12-01,34
2019-12-08,33
2019-12-15,32
2019-12-22,44
2019-12-29,34
2020-01-05,29
2020-01-12,29
2020-01-19,39
2020-01-26,38
2020-02-02,32
2020-02-09,25
2020-02-16,30
2020-02-23,31
2020-03-01,42
2020-03-08,42
2020-03-15,35
2020-03-22,36
2020-03-29,64
2020-04-05,88
2020-04-12,94
2020-04-19,100
2020-04-26,94
2020-05-03,80
2020-05-10,81
2020-05-17,54
2020-05-24,40
2020-05-31,54
2020-06-07,50
2020-06-14,32
2020-06-21,39
2020-06-28,40
2020-07-05,44
2020-07-12,55
2020-07-19,45
2020-07-26,37
2020-08-02,42
2020-08-09,46
2020-08-16,40
2020-08-23,40
2020-08-30,34
2020-09-06,38
2020-09-13,32
2020-09-20,37
2020-09-27,54
2020-10-04,34
2020-10-11,41
2020-10-18,44
2020-10-25,44
2020-11-01,34
2020-11-08,37
2020-11-15,26
2020-11-22,34
2020-11-29,31
2020-12-06,27
2020-12-13,35
2020-12-20,37
2020-12-27,34
2021-01-03,39
2021-01-10,49
2021-01-17,39
2021-01-24,36
2021-01-31,45
2021-02-07,32
2021-02-14,41
2021-02-21,39
2021-02-28,38
2021-03-07,30
2021-03-14,41
2021-03-21,32
2021-03-28,36
2021-04-04,21
2021-04-11,39
2021-04-18,22
2021-04-25,26
2021-05-02,32
2021-05-09,44
2021-05-16,29
2021-05-23,46
2021-05-30,51
2021-06-06,55
2021-06-13,43
2021-06-20,36
2021-06-27,34
2021-07-04,42
2021-07-11,48
2021-07-18,51
2021-07-25,60
2021-08-01,43
2021-08-08,41
2021-08-15,37
2021-08-22,52
2021-08-29,51
2021-09-05,29
2021-09-12,38
2021-09-19,46
2021-09-26,37
2021-10-03,28
2021-10-10,42
2021-10-17,37
2021-10-24,35
2021-10-31,43
2021-11-07,28
2021-11-14,36
2021-11-21,41
2021-11-28,32
2021-12-05,22
2021-12-12,34
2021-12-19,30
2021-12-26,33
2022-01-02,20
2022-01-09,41
2022-01-16,32
2022-01-23,49
2022-01-30,41
2022-02-06,28
2022-02-13,33
2022-02-20,46
2022-02-27,35
2022-03-06,47
2022-03-13,37
2022-03-20,33
2022-03-27,37
2022-04-03,43
2022-04-10,50
2022-04-17,38
2022-04-24,40
2022-05-01,47
2022-05-08,43
2022-05-15,34
2022-05-22,45
2022-05-29,48
2022-06-05,47
2022-06-12,37
2022-06-19,38
2022-06-26,37
2022-07-03,39
2022-07-10,51
2022-07-17,41
2022-07-24,45
2022-07-31,35
2022-08-07,44
2022-08-14,52
2022-08-21,42
2022-08-28,43
2022-09-04,40
2022-09-11,39
2022-09-18,54
2022-09-25,35
2022-10-02,44
2022-10-09,50
2022-10-16,32
2022-10-23,44
2022-10-30,28
2022-11-06,36
2022-11-13,32
2022-11-20,29
2022-11-27,31
2022-12-04,32
2022-12-11,34
2022-12-18,29
2022-12-25,43
