Category: Food & Drink

Week,Dal makhani: (Delhi)
2018-01-07,36
2018-01-14,45
2018-01-21,34
2018-01-28,30
2018-02-04,22
2018-02-11,34
2018-02-18,29
2018-02-25,40
2018-03-04,34
2018-03-11,33
2018-03-18,26
2018-03-25,29
2018-04-01,20
2018-04-08,31
2018-04-15,45
2018-04-22,50
2018-04-29,43
2018-05-06,45
2018-05-13,35
2018-05-20,35
2018-05-27,41
2018-06-03,36
2018-06-10,8
2018-06-17,38
2018-06-24,36
2018-07-01,45
2018-07-08,44
2018-07-15,53
2018-07-22,34
2018-07-29,29
2018-08-05,49
2018-08-12,30
2018-08-19,50
2018-08-26,39
2018-09-02,31
2018-09-09,24
2018-09-16,43
2018-09-23,29
2018-09-30,46
2018-10-07,26
2018-10-14,22
2018-10-21,48
2018-10-28,31
2018-11-04,34
2018-11-11,42
2018-11-18,41
2018-11-25,11
2018-12-02,22
2018-12-09,11
2018-12-16,33
2018-12-23,27
2018-12-30,23
2019-01-06,29
2019-01-13,36
2019-01-20,27
2019-01-27,18
2019-02-03,28
2019-02-10,29
2019-02-17,23
2019-02-24,23
2019-03-03,47
2019-03-10,6
2019-03-17,19
2019-03-24,13
2019-03-31,31
2019-04-07,23
2019-04-14,32
2019-04-21,31
2019-04-28,14
2019-05-05,33
2019-05-12,48
2019-05-19,31
2019-05-26,41
2019-06-02,22
2019-06-09,30
2019-06-16,24
2019-06-23,23
2019-06-30,18
2019-07-07,26
2019-07-14,39
2019-07-21,29
2019-07-28,32
2019-08-04,24
2019-08-11,24
2019-08-18,27
2019-08-25,23
2019-09-01,22
2019-09-08,21
2019-09-15,34
2019-09-22,28
2019-09-29,18
2019-10-06,16
2019-10-13,26
2019-10-20,42
2019-10-27,37
2019-11-03,13
2019-11-10,26
2019-11-17,24
2019-11-24,36
2019-12-01,22
2019-12-08,23
2019-12-15,14
2019-12-22,37
2019-12-29,41
2020-01-05,27
2020-01-12,51
2020-01-19,25
2020-01-26,30
2020-02-02,31
2020-02-09,13
2020-02-16,24
2020-02-23,14
2020-03-01,30
2020-03-08,36
2020-03-15,16
2020-03-22,35
2020-03-29,57
2020-04-05,61
2020-04-12,91
2020-04-19,98
2020-04-26,100
2020-05-03,48
2020-05-10,79
2020-05-17,56
2020-05-24,34
2020-05-31,69
2020-06-07,76
2020-06-14,74
2020-06-21,57
2020-06-28,56
2020-07-05,38
2020-07-12,52
2020-07-19,33
2020-07-26,42
2020-08-02,43
2020-08-09,37
2020-08-16,50
2020-08-23,50
2020-08-30,35
2020-09-06,44
2020-09-13,56
2020-09-20,31
2020-09-27,43
2020-10-04,26
2020-10-11,30
2020-10-18,29
2020-10-25,25
2020-11-01,43
2020-11-08,20
2020-11-15,45
2020-11-22,40
2020-11-29,18
2020-12-06,25
2020-12-13,26
2020-12-20,35
2020-12-27,35
2021-01-03,15
2021-01-10,16
2021-01-17,51
2021-01-24,27
2021-01-31,14
2021-02-07,28
2021-02-14,14
2021-02-21,20
2021-02-28,35
2021-03-07,24
2021-03-14,24
2021-03-21,19
2021-03-28,33
2021-04-04,42
2021-04-11,0
2021-04-18,23
2021-04-25,26
2021-05-02,25
2021-05-09,39
2021-05-16,36
2021-05-23,47
2021-05-30,47
2021-06-06,56
2021-06-13,27
2021-06-20,39
2021-06-27,10
2021-07-04,15
2021-07-11,26
2021-07-18,35
2021-07-25,49
2021-08-01,37
2021-08-08,33
2021-08-15,22
2021-08-22,19
2021-08-29,33
2021-09-05,23
2021-09-12,18
2021-09-19,8
2021-09-26,26
2021-10-03,22
2021-10-10,21
2021-10-17,13
2021-10-24,21
2021-10-31,37
2021-11-07,27
2021-11-14,28
2021-11-21,39
2021-11-28,22
2021-12-05,15
2021-12-12,10
2021-12-19,20
2021-12-26,17
2022-01-02,25
2022-01-09,15
2022-01-16,21
2022-01-23,34
2022-01-30,15
2022-02-06,37
2022-02-13,30
2022-02-20,19
2022-02-27,15
2022-03-06,29
2022-03-13,48
2022-03-20,32
2022-03-27,23
2022-04-03,27
2022-04-10,11
2022-04-17,24
2022-04-24,27
2022-05-01,23
2022-05-08,27
2022-05-15,29
2022-05-22,21
2022-05-29,26
2022-06-05,26
2022-06-12,36
2022-06-19,12
2022-06-26,32
2022-07-03,29
2022-07-10,20
2022-07-17,29
2022-07-24,20
2022-07-31,41
2022-08-07,41
2022-08-14,22
2022-08-21,25
2022-08-28,25
2022-09-04,35
2022-09-11,16
2022-09-18,21
2022-09-25,20
2022-10-02,25
2022-10-09,36
2022-10-16,30
2022-10-23,18
2022-10-30,5
2022-11-06,16
2022-11-13,44
2022-11-20,17
2022-11-27,14
2022-12-04,16
2022-12-11,24
2022-12-18,15
2022-12-25,15
