Category: Food & Drink

Week,Dosa: (Delhi)
2018-01-07,19
2018-01-14,19
2018-01-21,14
2018-01-28,16
2018-02-04,29
2018-02-11,20
2018-02-18,23
2018-02-25,25
2018-03-04,35
2018-03-11,22
2018-03-18,31
2018-03-25,24
2018-04-01,19
2018-04-08,22
2018-04-15,24
2018-04-22,17
2018-04-29,30
2018-05-06,26
2018-05-13,23
2018-05-20,21
2018-05-27,21
2018-06-03,20
2018-06-10,25
2018-06-17,27
2018-06-24,25
2018-07-01,23
2018-07-08,20
2018-07-15,26
2018-07-22,25
2018-07-29,20
2018-08-05,29
2018-08-12,26
2018-08-19,26
2018-08-26,30
2018-09-02,29
2018-09-09,19
2018-09-16,32
2018-09-23,22
2018-09-30,36
2018-10-07,17
2018-10-14,31
2018-10-21,25
2018-10-28,23
2018-11-04,16
2018-11-11,25
2018-11-18,25
2018-11-25,20
2018-12-02,13
2018-12-09,22
2018-12-16,24
2018-12-23,24
2018-12-30,26
2019-01-06,18
2019-01-13,18
2019-01-20,31
2019-01-27,27
2019-02-03,23
2019-02-10,30
2019-02-17,21
2019-02-24,21
2019-03-03,26
2019-03-10,22
2019-03-17,26
2019-03-24,23
2019-03-31,29
2019-04-07,24
2019-04-14,28
2019-04-21,32
2019-04-28,25
2019-05-05,22
2019-05-12,27
2019-05-19,21
2019-05-26,26
2019-06-02,36
2019-06-09,27
2019-06-16,30
2019-06-23,31
2019-06-30,27
2019-07-07,24
2019-07-14,35
2019-07-21,35
2019-07-28,35
2019-08-04,21
2019-08-11,30
2019-08-18,27
2019-08-25,33
2019-09-01,41
2019-09-08,33
2019-09-15,26
2019-09-22,28
2019-09-29,32
2019-10-06,25
2019-10-13,29
2019-10-20,27
2019-10-27,26
2019-11-03,18
2019-11-10,22
2019-11-17,25
2019-11-24,23
2019-12-01,27
2019-12-08,22
2019-12-15,22
2019-12-22,25
2019-12-29,21
2020-01-05,24
2020-01-12,24
2020-01-19,25
2020-01-26,27
2020-02-02,30
2020-02-09,21
2020-02-16,27
2020-02-23,24
2020-03-01,29
2020-03-08,39
2020-03-15,30
2020-03-22,37
2020-03-29,70
2020-04-05,100
2020-04-12,88
2020-04-19,91
2020-04-26,95
2020-05-03,92
2020-05-10,60
2020-05-17,65
2020-05-24,53
2020-05-31,63
2020-06-07,49
2020-06-14,42
2020-06-21,55
2020-06-28,32
2020-07-05,47
2020-07-12,38
2020-07-19,61
2020-07-26,40
2020-08-02,33
2020-08-09,42
2020-08-16,33
2020-08-23,45
2020-08-30,35
2020-09-06,39
2020-09-13,44
2020-09-20,36
2020-09-27,34
2020-10-04,37
2020-10-11,38
2020-10-18,35
2020-10-25,35
2020-11-01,20
2020-11-08,28
2020-11-15,22
2020-11-22,22
2020-11-29,34
2020-12-06,29
2020-12-13,30
2020-12-20,29
2020-12-27,33
2021-01-03,33
2021-01-10,27
2021-01-17,35
2021-01-24,35
2021-01-31,27
2021-02-07,28
2021-02-14,31
2021-02-21,30
2021-02-28,36
2021-03-07,24
2021-03-14,26
2021-03-21,40
2021-03-28,31
2021-04-04,31
2021-04-11,18
2021-04-18,34
2021-04-25,37
2021-05-02,45
2021-05-09,66
2021-05-16,56
2021-05-23,55
2021-05-30,43
2021-06-06,32
2021-06-13,45
2021-06-20,48
2021-06-27,33
2021-07-04,33
2021-07-11,34
2021-07-18,30
2021-07-25,37
2021-08-01,39
2021-08-08,34
2021-08-15,37
2021-08-22,28
2021-08-29,34
2021-09-05,32
2021-09-12,33
2021-09-19,33
2021-09-26,28
2021-10-03,26
2021-10-10,27
2021-10-17,18
2021-10-24,27
2021-10-31,15
2021-11-07,24
2021-11-14,26
2021-11-21,23
2021-11-28,19
2021-12-05,22
2021-12-12,22
2021-12-19,18
2021-12-26,26
2022-01-02,29
2022-01-09,20
2022-01-16,28
2022-01-23,37
2022-01-30,28
2022-02-06,33
2022-02-13,26
2022-02-20,23
2022-02-27,24
2022-03-06,28
2022-03-13,27
2022-03-20,23
2022-03-27,29
2022-04-03,30
2022-04-10,27
2022-04-17,29
2022-04-24,37
2022-05-01,34
2022-05-08,25
2022-05-15,31
2022-05-22,26
2022-05-29,31
2022-06-05,35
2022-06-12,29
2022-06-19,46
2022-06-26,38
2022-07-03,25
2022-07-10,35
2022-07-17,31
2022-07-24,27
2022-07-31,40
2022-08-07,35
2022-08-14,32
2022-08-21,33
2022-08-28,32
2022-09-04,29
2022-09-11,27
2022-09-18,31
2022-09-25,24
2022-10-02,30
2022-10-09,28
2022-10-16,25
2022-10-23,21
2022-10-30,25
2022-11-06,17
2022-11-13,23
2022-11-20,28
2022-11-27,26
2022-12-04,24
2022-12-11,29
2022-12-18,23
2022-12-25,26
