Category: Food & Drink

Week,Dum Aloo: (Delhi)
2018-01-07,62
2018-01-14,30
2018-01-21,20
2018-01-28,37
2018-02-04,39
2018-02-11,50
2018-02-18,64
2018-02-25,34
2018-03-04,20
2018-03-11,53
2018-03-18,37
2018-03-25,42
2018-04-01,51
2018-04-08,34
2018-04-15,53
2018-04-22,14
2018-04-29,62
2018-05-06,13
2018-05-13,0
2018-05-20,19
2018-05-27,42
2018-06-03,26
2018-06-10,53
2018-06-17,37
2018-06-24,32
2018-07-01,42
2018-07-08,0
2018-07-15,47
2018-07-22,43
2018-07-29,27
2018-08-05,40
2018-08-12,36
2018-08-19,25
2018-08-26,45
2018-09-02,50
2018-09-09,25
2018-09-16,20
2018-09-23,48
2018-09-30,39
2018-10-07,25
2018-10-14,39
2018-10-21,29
2018-10-28,40
2018-11-04,39
2018-11-11,35
2018-11-18,26
2018-11-25,15
2018-12-02,38
2018-12-09,12
2018-12-16,24
2018-12-23,33
2018-12-30,0
2019-01-06,37
2019-01-13,28
2019-01-20,100
2019-01-27,88
2019-02-03,22
2019-02-10,17
2019-02-17,0
2019-02-24,20
2019-03-03,18
2019-03-10,16
2019-03-17,45
2019-03-24,16
2019-03-31,14
2019-04-07,20
2019-04-14,0
2019-04-21,14
2019-04-28,26
2019-05-05,22
2019-05-12,69
2019-05-19,0
2019-05-26,25
2019-06-02,13
2019-06-09,19
2019-06-16,43
2019-06-23,17
2019-06-30,40
2019-07-07,26
2019-07-14,10
2019-07-21,11
2019-07-28,56
2019-08-04,32
2019-08-11,0
2019-08-18,39
2019-08-25,12
2019-09-01,0
2019-09-08,60
2019-09-15,15
2019-09-22,30
2019-09-29,12
2019-10-06,44
2019-10-13,11
2019-10-20,33
2019-10-27,15
2019-11-03,16
2019-11-10,0
2019-11-17,15
2019-11-24,25
2019-12-01,17
2019-12-08,23
2019-12-15,0
2019-12-22,43
2019-12-29,0
2020-01-05,24
2020-01-12,0
2020-01-19,0
2020-01-26,19
2020-02-02,35
2020-02-09,48
2020-02-16,13
2020-02-23,33
2020-03-01,46
2020-03-08,27
2020-03-15,34
2020-03-22,0
2020-03-29,62
2020-04-05,44
2020-04-12,96
2020-04-19,71
2020-04-26,70
2020-05-03,60
2020-05-10,54
2020-05-17,19
2020-05-24,31
2020-05-31,43
2020-06-07,65
2020-06-14,35
2020-06-21,16
2020-06-28,0
2020-07-05,34
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,71
2020-08-09,43
2020-08-16,32
2020-08-23,12
2020-08-30,18
2020-09-06,14
2020-09-13,15
2020-09-20,35
2020-09-27,23
2020-10-04,45
2020-10-11,0
2020-10-18,20
2020-10-25,19
2020-11-01,0
2020-11-08,63
2020-11-15,59
2020-11-22,25
2020-11-29,36
2020-12-06,0
2020-12-13,17
2020-12-20,22
2020-12-27,0
2021-01-03,32
2021-01-10,38
2021-01-17,34
2021-01-24,37
2021-01-31,41
2021-02-07,17
2021-02-14,23
2021-02-21,21
2021-02-28,14
2021-03-07,20
2021-03-14,18
2021-03-21,0
2021-03-28,30
2021-04-04,16
2021-04-11,0
2021-04-18,19
2021-04-25,0
2021-05-02,30
2021-05-09,14
2021-05-16,33
2021-05-23,26
2021-05-30,22
2021-06-06,20
2021-06-13,19
2021-06-20,18
2021-06-27,0
2021-07-04,18
2021-07-11,24
2021-07-18,21
2021-07-25,22
2021-08-01,24
2021-08-08,0
2021-08-15,51
2021-08-22,0
2021-08-29,31
2021-09-05,23
2021-09-12,0
2021-09-19,14
2021-09-26,0
2021-10-03,20
2021-10-10,23
2021-10-17,0
2021-10-24,29
2021-10-31,31
2021-11-07,60
2021-11-14,20
2021-11-21,29
2021-11-28,0
2021-12-05,18
2021-12-12,15
2021-12-19,24
2021-12-26,0
2022-01-02,0
2022-01-09,53
2022-01-16,15
2022-01-23,0
2022-01-30,48
2022-02-06,33
2022-02-13,22
2022-02-20,19
2022-02-27,0
2022-03-06,13
2022-03-13,9
2022-03-20,11
2022-03-27,24
2022-04-03,0
2022-04-10,19
2022-04-17,0
2022-04-24,15
2022-05-01,14
2022-05-08,0
2022-05-15,0
2022-05-22,48
2022-05-29,0
2022-06-05,29
2022-06-12,27
2022-06-19,38
2022-06-26,16
2022-07-03,30
2022-07-10,0
2022-07-17,11
2022-07-24,26
2022-07-31,30
2022-08-07,0
2022-08-14,48
2022-08-21,0
2022-08-28,19
2022-09-04,24
2022-09-11,0
2022-09-18,0
2022-09-25,19
2022-10-02,9
2022-10-09,25
2022-10-16,30
2022-10-23,34
2022-10-30,17
2022-11-06,27
2022-11-13,14
2022-11-20,16
2022-11-27,17
2022-12-04,11
2022-12-11,20
2022-12-18,28
2022-12-25,43
