Category: Food & Drink

Week,Gajar ka halwa: (Delhi)
2018-01-07,58
2018-01-14,55
2018-01-21,52
2018-01-28,35
2018-02-04,32
2018-02-11,33
2018-02-18,23
2018-02-25,12
2018-03-04,4
2018-03-11,13
2018-03-18,8
2018-03-25,4
2018-04-01,8
2018-04-08,8
2018-04-15,5
2018-04-22,8
2018-04-29,10
2018-05-06,0
2018-05-13,0
2018-05-20,5
2018-05-27,0
2018-06-03,7
2018-06-10,0
2018-06-17,0
2018-06-24,8
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,4
2018-07-29,0
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,0
2018-09-16,0
2018-09-23,15
2018-09-30,6
2018-10-07,0
2018-10-14,0
2018-10-21,0
2018-10-28,4
2018-11-04,11
2018-11-11,20
2018-11-18,24
2018-11-25,36
2018-12-02,46
2018-12-09,50
2018-12-16,87
2018-12-23,84
2018-12-30,82
2019-01-06,78
2019-01-13,46
2019-01-20,49
2019-01-27,37
2019-02-03,41
2019-02-10,36
2019-02-17,18
2019-02-24,19
2019-03-03,18
2019-03-10,11
2019-03-17,5
2019-03-24,0
2019-03-31,15
2019-04-07,0
2019-04-14,11
2019-04-21,7
2019-04-28,0
2019-05-05,16
2019-05-12,0
2019-05-19,0
2019-05-26,6
2019-06-02,0
2019-06-09,0
2019-06-16,11
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,4
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,13
2019-09-22,12
2019-09-29,4
2019-10-06,8
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,14
2019-11-24,13
2019-12-01,25
2019-12-08,42
2019-12-15,70
2019-12-22,63
2019-12-29,82
2020-01-05,56
2020-01-12,45
2020-01-19,55
2020-01-26,33
2020-02-02,36
2020-02-09,21
2020-02-16,35
2020-02-23,8
2020-03-01,4
2020-03-08,0
2020-03-15,0
2020-03-22,7
2020-03-29,0
2020-04-05,0
2020-04-12,5
2020-04-19,12
2020-04-26,0
2020-05-03,11
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,7
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,6
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,11
2020-09-06,0
2020-09-13,0
2020-09-20,4
2020-09-27,0
2020-10-04,7
2020-10-11,10
2020-10-18,5
2020-10-25,8
2020-11-01,4
2020-11-08,0
2020-11-15,14
2020-11-22,32
2020-11-29,29
2020-12-06,44
2020-12-13,99
2020-12-20,77
2020-12-27,100
2021-01-03,68
2021-01-10,61
2021-01-17,30
2021-01-24,28
2021-01-31,41
2021-02-07,39
2021-02-14,31
2021-02-21,13
2021-02-28,9
2021-03-07,11
2021-03-14,0
2021-03-21,5
2021-03-28,0
2021-04-04,6
2021-04-11,11
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,12
2021-05-30,0
2021-06-06,6
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,4
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,6
2021-08-29,8
2021-09-05,6
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,7
2021-11-14,22
2021-11-21,20
2021-11-28,26
2021-12-05,40
2021-12-12,42
2021-12-19,53
2021-12-26,72
2022-01-02,88
2022-01-09,77
2022-01-16,64
2022-01-23,54
2022-01-30,42
2022-02-06,33
2022-02-13,25
2022-02-20,10
2022-02-27,14
2022-03-06,8
2022-03-13,0
2022-03-20,5
2022-03-27,0
2022-04-03,0
2022-04-10,5
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,16
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,4
2022-06-26,0
2022-07-03,0
2022-07-10,7
2022-07-17,0
2022-07-24,0
2022-07-31,4
2022-08-07,5
2022-08-14,7
2022-08-21,0
2022-08-28,3
2022-09-04,6
2022-09-11,4
2022-09-18,3
2022-09-25,4
2022-10-02,0
2022-10-09,6
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,7
2022-11-13,9
2022-11-20,17
2022-11-27,37
2022-12-04,30
2022-12-11,36
2022-12-18,52
2022-12-25,78
