Category: Food & Drink

Week,Grape: (Delhi)
2018-01-07,54
2018-01-14,48
2018-01-21,47
2018-01-28,50
2018-02-04,52
2018-02-11,42
2018-02-18,57
2018-02-25,54
2018-03-04,55
2018-03-11,58
2018-03-18,59
2018-03-25,53
2018-04-01,39
2018-04-08,34
2018-04-15,24
2018-04-22,48
2018-04-29,60
2018-05-06,39
2018-05-13,36
2018-05-20,51
2018-05-27,25
2018-06-03,20
2018-06-10,41
2018-06-17,36
2018-06-24,35
2018-07-01,29
2018-07-08,30
2018-07-15,41
2018-07-22,44
2018-07-29,23
2018-08-05,20
2018-08-12,17
2018-08-19,47
2018-08-26,49
2018-09-02,24
2018-09-09,37
2018-09-16,25
2018-09-23,44
2018-09-30,39
2018-10-07,28
2018-10-14,39
2018-10-21,15
2018-10-28,30
2018-11-04,0
2018-11-11,18
2018-11-18,35
2018-11-25,55
2018-12-02,29
2018-12-09,57
2018-12-16,25
2018-12-23,47
2018-12-30,20
2019-01-06,27
2019-01-13,45
2019-01-20,8
2019-01-27,27
2019-02-03,52
2019-02-10,45
2019-02-17,38
2019-02-24,41
2019-03-03,73
2019-03-10,70
2019-03-17,44
2019-03-24,45
2019-03-31,46
2019-04-07,63
2019-04-14,37
2019-04-21,37
2019-04-28,35
2019-05-05,37
2019-05-12,37
2019-05-19,29
2019-05-26,80
2019-06-02,28
2019-06-09,20
2019-06-16,10
2019-06-23,37
2019-06-30,0
2019-07-07,40
2019-07-14,33
2019-07-21,35
2019-07-28,24
2019-08-04,30
2019-08-11,30
2019-08-18,37
2019-08-25,32
2019-09-01,26
2019-09-08,39
2019-09-15,16
2019-09-22,36
2019-09-29,16
2019-10-06,22
2019-10-13,0
2019-10-20,17
2019-10-27,29
2019-11-03,25
2019-11-10,41
2019-11-17,16
2019-11-24,51
2019-12-01,23
2019-12-08,47
2019-12-15,72
2019-12-22,11
2019-12-29,46
2020-01-05,28
2020-01-12,54
2020-01-19,47
2020-01-26,40
2020-02-02,49
2020-02-09,38
2020-02-16,55
2020-02-23,63
2020-03-01,39
2020-03-08,71
2020-03-15,57
2020-03-22,63
2020-03-29,40
2020-04-05,39
2020-04-12,51
2020-04-19,80
2020-04-26,52
2020-05-03,38
2020-05-10,29
2020-05-17,41
2020-05-24,69
2020-05-31,51
2020-06-07,77
2020-06-14,63
2020-06-21,42
2020-06-28,25
2020-07-05,45
2020-07-12,22
2020-07-19,31
2020-07-26,35
2020-08-02,24
2020-08-09,39
2020-08-16,20
2020-08-23,53
2020-08-30,65
2020-09-06,48
2020-09-13,27
2020-09-20,43
2020-09-27,31
2020-10-04,36
2020-10-11,33
2020-10-18,49
2020-10-25,54
2020-11-01,39
2020-11-08,30
2020-11-15,47
2020-11-22,40
2020-11-29,47
2020-12-06,16
2020-12-13,25
2020-12-20,47
2020-12-27,24
2021-01-03,36
2021-01-10,46
2021-01-17,59
2021-01-24,58
2021-01-31,50
2021-02-07,73
2021-02-14,58
2021-02-21,100
2021-02-28,43
2021-03-07,48
2021-03-14,92
2021-03-21,72
2021-03-28,74
2021-04-04,44
2021-04-11,9
2021-04-18,20
2021-04-25,63
2021-05-02,21
2021-05-09,25
2021-05-16,33
2021-05-23,25
2021-05-30,54
2021-06-06,18
2021-06-13,32
2021-06-20,0
2021-06-27,47
2021-07-04,50
2021-07-11,27
2021-07-18,38
2021-07-25,22
2021-08-01,36
2021-08-08,34
2021-08-15,20
2021-08-22,47
2021-08-29,34
2021-09-05,62
2021-09-12,37
2021-09-19,50
2021-09-26,71
2021-10-03,0
2021-10-10,36
2021-10-17,11
2021-10-24,26
2021-10-31,0
2021-11-07,30
2021-11-14,25
2021-11-21,59
2021-11-28,20
2021-12-05,37
2021-12-12,27
2021-12-19,45
2021-12-26,55
2022-01-02,37
2022-01-09,35
2022-01-16,51
2022-01-23,42
2022-01-30,21
2022-02-06,39
2022-02-13,53
2022-02-20,57
2022-02-27,82
2022-03-06,65
2022-03-13,41
2022-03-20,88
2022-03-27,73
2022-04-03,77
2022-04-10,48
2022-04-17,68
2022-04-24,46
2022-05-01,37
2022-05-08,33
2022-05-15,40
2022-05-22,45
2022-05-29,42
2022-06-05,42
2022-06-12,35
2022-06-19,51
2022-06-26,50
2022-07-03,45
2022-07-10,35
2022-07-17,29
2022-07-24,46
2022-07-31,43
2022-08-07,37
2022-08-14,18
2022-08-21,43
2022-08-28,26
2022-09-04,26
2022-09-11,55
2022-09-18,55
2022-09-25,29
2022-10-02,25
2022-10-09,28
2022-10-16,11
2022-10-23,41
2022-10-30,52
2022-11-06,30
2022-11-13,32
2022-11-20,61
2022-11-27,18
2022-12-04,11
2022-12-11,30
2022-12-18,45
2022-12-25,26
