Category: Food & Drink

Week,Kachori: (Delhi)
2018-01-07,28
2018-01-14,25
2018-01-21,20
2018-01-28,0
2018-02-04,14
2018-02-11,0
2018-02-18,19
2018-02-25,40
2018-03-04,20
2018-03-11,11
2018-03-18,22
2018-03-25,19
2018-04-01,7
2018-04-08,14
2018-04-15,15
2018-04-22,16
2018-04-29,13
2018-05-06,16
2018-05-13,19
2018-05-20,18
2018-05-27,23
2018-06-03,17
2018-06-10,23
2018-06-17,16
2018-06-24,8
2018-07-01,14
2018-07-08,10
2018-07-15,25
2018-07-22,27
2018-07-29,29
2018-08-05,29
2018-08-12,27
2018-08-19,0
2018-08-26,19
2018-09-02,41
2018-09-09,21
2018-09-16,27
2018-09-23,33
2018-09-30,20
2018-10-07,16
2018-10-14,29
2018-10-21,26
2018-10-28,34
2018-11-04,25
2018-11-11,9
2018-11-18,19
2018-11-25,10
2018-12-02,25
2018-12-09,14
2018-12-16,23
2018-12-23,17
2018-12-30,16
2019-01-06,28
2019-01-13,16
2019-01-20,38
2019-01-27,24
2019-02-03,30
2019-02-10,19
2019-02-17,26
2019-02-24,27
2019-03-03,12
2019-03-10,27
2019-03-17,44
2019-03-24,31
2019-03-31,7
2019-04-07,15
2019-04-14,15
2019-04-21,12
2019-04-28,14
2019-05-05,25
2019-05-12,12
2019-05-19,9
2019-05-26,23
2019-06-02,26
2019-06-09,22
2019-06-16,23
2019-06-23,30
2019-06-30,13
2019-07-07,15
2019-07-14,31
2019-07-21,32
2019-07-28,33
2019-08-04,12
2019-08-11,34
2019-08-18,25
2019-08-25,10
2019-09-01,23
2019-09-08,21
2019-09-15,23
2019-09-22,11
2019-09-29,15
2019-10-06,15
2019-10-13,11
2019-10-20,14
2019-10-27,26
2019-11-03,27
2019-11-10,31
2019-11-17,23
2019-11-24,26
2019-12-01,25
2019-12-08,18
2019-12-15,24
2019-12-22,36
2019-12-29,13
2020-01-05,15
2020-01-12,14
2020-01-19,20
2020-01-26,26
2020-02-02,20
2020-02-09,25
2020-02-16,15
2020-02-23,24
2020-03-01,26
2020-03-08,31
2020-03-15,15
2020-03-22,18
2020-03-29,29
2020-04-05,49
2020-04-12,86
2020-04-19,95
2020-04-26,88
2020-05-03,100
2020-05-10,42
2020-05-17,60
2020-05-24,67
2020-05-31,54
2020-06-07,46
2020-06-14,32
2020-06-21,31
2020-06-28,39
2020-07-05,26
2020-07-12,36
2020-07-19,29
2020-07-26,37
2020-08-02,45
2020-08-09,36
2020-08-16,29
2020-08-23,14
2020-08-30,11
2020-09-06,25
2020-09-13,50
2020-09-20,17
2020-09-27,27
2020-10-04,33
2020-10-11,11
2020-10-18,25
2020-10-25,18
2020-11-01,16
2020-11-08,25
2020-11-15,29
2020-11-22,23
2020-11-29,19
2020-12-06,31
2020-12-13,21
2020-12-20,29
2020-12-27,26
2021-01-03,19
2021-01-10,27
2021-01-17,21
2021-01-24,25
2021-01-31,31
2021-02-07,18
2021-02-14,17
2021-02-21,21
2021-02-28,18
2021-03-07,14
2021-03-14,20
2021-03-21,23
2021-03-28,24
2021-04-04,22
2021-04-11,0
2021-04-18,29
2021-04-25,20
2021-05-02,14
2021-05-09,29
2021-05-16,41
2021-05-23,33
2021-05-30,28
2021-06-06,25
2021-06-13,24
2021-06-20,24
2021-06-27,19
2021-07-04,28
2021-07-11,32
2021-07-18,21
2021-07-25,29
2021-08-01,31
2021-08-08,25
2021-08-15,28
2021-08-22,25
2021-08-29,26
2021-09-05,31
2021-09-12,17
2021-09-19,13
2021-09-26,21
2021-10-03,17
2021-10-10,25
2021-10-17,22
2021-10-24,13
2021-10-31,36
2021-11-07,22
2021-11-14,29
2021-11-21,10
2021-11-28,22
2021-12-05,27
2021-12-12,24
2021-12-19,10
2021-12-26,28
2022-01-02,33
2022-01-09,30
2022-01-16,30
2022-01-23,28
2022-01-30,28
2022-02-06,22
2022-02-13,30
2022-02-20,40
2022-02-27,24
2022-03-06,25
2022-03-13,32
2022-03-20,18
2022-03-27,24
2022-04-03,19
2022-04-10,9
2022-04-17,18
2022-04-24,31
2022-05-01,22
2022-05-08,19
2022-05-15,27
2022-05-22,33
2022-05-29,27
2022-06-05,31
2022-06-12,20
2022-06-19,25
2022-06-26,17
2022-07-03,27
2022-07-10,29
2022-07-17,20
2022-07-24,23
2022-07-31,22
2022-08-07,27
2022-08-14,35
2022-08-21,23
2022-08-28,8
2022-09-04,21
2022-09-11,16
2022-09-18,37
2022-09-25,24
2022-10-02,30
2022-10-09,23
2022-10-16,34
2022-10-23,42
2022-10-30,26
2022-11-06,23
2022-11-13,25
2022-11-20,15
2022-11-27,30
2022-12-04,12
2022-12-11,32
2022-12-18,21
2022-12-25,26
