Category: Food & Drink

Week,Kheer: (Delhi)
2018-01-07,36
2018-01-14,35
2018-01-21,32
2018-01-28,29
2018-02-04,27
2018-02-11,44
2018-02-18,30
2018-02-25,40
2018-03-04,43
2018-03-11,40
2018-03-18,86
2018-03-25,29
2018-04-01,37
2018-04-08,27
2018-04-15,30
2018-04-22,30
2018-04-29,41
2018-05-06,33
2018-05-13,35
2018-05-20,33
2018-05-27,19
2018-06-03,40
2018-06-10,52
2018-06-17,43
2018-06-24,81
2018-07-01,24
2018-07-08,19
2018-07-15,39
2018-07-22,41
2018-07-29,38
2018-08-05,56
2018-08-12,68
2018-08-19,45
2018-08-26,56
2018-09-02,59
2018-09-09,47
2018-09-16,32
2018-09-23,52
2018-09-30,47
2018-10-07,92
2018-10-14,56
2018-10-21,61
2018-10-28,47
2018-11-04,47
2018-11-11,34
2018-11-18,45
2018-11-25,25
2018-12-02,35
2018-12-09,14
2018-12-16,29
2018-12-23,26
2018-12-30,52
2019-01-06,37
2019-01-13,30
2019-01-20,32
2019-01-27,34
2019-02-03,27
2019-02-10,32
2019-02-17,23
2019-02-24,42
2019-03-03,62
2019-03-10,36
2019-03-17,33
2019-03-24,34
2019-03-31,54
2019-04-07,94
2019-04-14,45
2019-04-21,31
2019-04-28,28
2019-05-05,34
2019-05-12,31
2019-05-19,29
2019-05-26,12
2019-06-02,63
2019-06-09,47
2019-06-16,33
2019-06-23,38
2019-06-30,30
2019-07-07,58
2019-07-14,52
2019-07-21,55
2019-07-28,50
2019-08-04,65
2019-08-11,73
2019-08-18,87
2019-08-25,38
2019-09-01,40
2019-09-08,55
2019-09-15,50
2019-09-22,62
2019-09-29,91
2019-10-06,60
2019-10-13,58
2019-10-20,43
2019-10-27,65
2019-11-03,17
2019-11-10,25
2019-11-17,13
2019-11-24,38
2019-12-01,26
2019-12-08,24
2019-12-15,35
2019-12-22,16
2019-12-29,41
2020-01-05,41
2020-01-12,31
2020-01-19,7
2020-01-26,40
2020-02-02,58
2020-02-09,19
2020-02-16,53
2020-02-23,32
2020-03-01,18
2020-03-08,63
2020-03-15,36
2020-03-22,67
2020-03-29,100
2020-04-05,70
2020-04-12,76
2020-04-19,91
2020-04-26,68
2020-05-03,82
2020-05-10,69
2020-05-17,51
2020-05-24,90
2020-05-31,51
2020-06-07,55
2020-06-14,45
2020-06-21,41
2020-06-28,22
2020-07-05,71
2020-07-12,63
2020-07-19,65
2020-07-26,34
2020-08-02,77
2020-08-09,69
2020-08-16,65
2020-08-23,49
2020-08-30,74
2020-09-06,44
2020-09-13,48
2020-09-20,38
2020-09-27,56
2020-10-04,32
2020-10-11,27
2020-10-18,75
2020-10-25,83
2020-11-01,34
2020-11-08,51
2020-11-15,71
2020-11-22,23
2020-11-29,40
2020-12-06,7
2020-12-13,24
2020-12-20,22
2020-12-27,34
2021-01-03,18
2021-01-10,40
2021-01-17,46
2021-01-24,25
2021-01-31,25
2021-02-07,43
2021-02-14,41
2021-02-21,36
2021-02-28,28
2021-03-07,60
2021-03-14,31
2021-03-21,28
2021-03-28,38
2021-04-04,22
2021-04-11,77
2021-04-18,38
2021-04-25,31
2021-05-02,44
2021-05-09,71
2021-05-16,41
2021-05-23,41
2021-05-30,51
2021-06-06,33
2021-06-13,31
2021-06-20,30
2021-06-27,23
2021-07-04,25
2021-07-11,20
2021-07-18,60
2021-07-25,28
2021-08-01,33
2021-08-08,46
2021-08-15,48
2021-08-22,43
2021-08-29,55
2021-09-05,40
2021-09-12,24
2021-09-19,40
2021-09-26,64
2021-10-03,57
2021-10-10,51
2021-10-17,65
2021-10-24,32
2021-10-31,27
2021-11-07,13
2021-11-14,29
2021-11-21,26
2021-11-28,30
2021-12-05,29
2021-12-12,44
2021-12-19,49
2021-12-26,38
2022-01-02,49
2022-01-09,47
2022-01-16,41
2022-01-23,38
2022-01-30,60
2022-02-06,31
2022-02-13,37
2022-02-20,32
2022-02-27,86
2022-03-06,33
2022-03-13,45
2022-03-20,31
2022-03-27,52
2022-04-03,70
2022-04-10,49
2022-04-17,28
2022-04-24,34
2022-05-01,36
2022-05-08,32
2022-05-15,36
2022-05-22,23
2022-05-29,34
2022-06-05,41
2022-06-12,44
2022-06-19,36
2022-06-26,50
2022-07-03,24
2022-07-10,47
2022-07-17,49
2022-07-24,68
2022-07-31,44
2022-08-07,64
2022-08-14,86
2022-08-21,37
2022-08-28,39
2022-09-04,34
2022-09-11,53
2022-09-18,44
2022-09-25,47
2022-10-02,57
2022-10-09,57
2022-10-16,33
2022-10-23,47
2022-10-30,35
2022-11-06,43
2022-11-13,32
2022-11-20,43
2022-11-27,31
2022-12-04,34
2022-12-11,31
2022-12-18,32
2022-12-25,33
