Category: Food & Drink

Week,Khichdi: (Delhi)
2018-01-07,37
2018-01-14,37
2018-01-21,27
2018-01-28,24
2018-02-04,26
2018-02-11,36
2018-02-18,40
2018-02-25,8
2018-03-04,9
2018-03-11,30
2018-03-18,94
2018-03-25,33
2018-04-01,33
2018-04-08,18
2018-04-15,32
2018-04-22,19
2018-04-29,21
2018-05-06,19
2018-05-13,34
2018-05-20,29
2018-05-27,26
2018-06-03,25
2018-06-10,15
2018-06-17,31
2018-06-24,19
2018-07-01,39
2018-07-08,19
2018-07-15,17
2018-07-22,32
2018-07-29,31
2018-08-05,39
2018-08-12,33
2018-08-19,38
2018-08-26,46
2018-09-02,30
2018-09-09,26
2018-09-16,27
2018-09-23,32
2018-09-30,32
2018-10-07,65
2018-10-14,71
2018-10-21,19
2018-10-28,12
2018-11-04,27
2018-11-11,31
2018-11-18,29
2018-11-25,15
2018-12-02,34
2018-12-09,41
2018-12-16,32
2018-12-23,23
2018-12-30,22
2019-01-06,28
2019-01-13,71
2019-01-20,31
2019-01-27,17
2019-02-03,28
2019-02-10,11
2019-02-17,17
2019-02-24,21
2019-03-03,44
2019-03-10,39
2019-03-17,32
2019-03-24,0
2019-03-31,33
2019-04-07,58
2019-04-14,19
2019-04-21,23
2019-04-28,19
2019-05-05,17
2019-05-12,14
2019-05-19,20
2019-05-26,19
2019-06-02,24
2019-06-09,27
2019-06-16,11
2019-06-23,22
2019-06-30,14
2019-07-07,35
2019-07-14,32
2019-07-21,26
2019-07-28,17
2019-08-04,26
2019-08-11,33
2019-08-18,38
2019-08-25,32
2019-09-01,15
2019-09-08,34
2019-09-15,25
2019-09-22,46
2019-09-29,83
2019-10-06,19
2019-10-13,23
2019-10-20,22
2019-10-27,7
2019-11-03,32
2019-11-10,19
2019-11-17,19
2019-11-24,20
2019-12-01,35
2019-12-08,30
2019-12-15,35
2019-12-22,0
2019-12-29,27
2020-01-05,31
2020-01-12,86
2020-01-19,40
2020-01-26,32
2020-02-02,44
2020-02-09,20
2020-02-16,43
2020-02-23,25
2020-03-01,32
2020-03-08,38
2020-03-15,21
2020-03-22,74
2020-03-29,76
2020-04-05,77
2020-04-12,52
2020-04-19,58
2020-04-26,35
2020-05-03,44
2020-05-10,57
2020-05-17,52
2020-05-24,30
2020-05-31,47
2020-06-07,42
2020-06-14,49
2020-06-21,49
2020-06-28,44
2020-07-05,38
2020-07-12,51
2020-07-19,31
2020-07-26,40
2020-08-02,34
2020-08-09,37
2020-08-16,34
2020-08-23,25
2020-08-30,31
2020-09-06,36
2020-09-13,25
2020-09-20,33
2020-09-27,24
2020-10-04,31
2020-10-11,35
2020-10-18,80
2020-10-25,34
2020-11-01,18
2020-11-08,25
2020-11-15,29
2020-11-22,43
2020-11-29,31
2020-12-06,36
2020-12-13,35
2020-12-20,7
2020-12-27,36
2021-01-03,19
2021-01-10,61
2021-01-17,32
2021-01-24,34
2021-01-31,13
2021-02-07,31
2021-02-14,26
2021-02-21,23
2021-02-28,17
2021-03-07,33
2021-03-14,10
2021-03-21,31
2021-03-28,31
2021-04-04,21
2021-04-11,100
2021-04-18,69
2021-04-25,46
2021-05-02,60
2021-05-09,34
2021-05-16,26
2021-05-23,20
2021-05-30,28
2021-06-06,39
2021-06-13,28
2021-06-20,38
2021-06-27,16
2021-07-04,5
2021-07-11,22
2021-07-18,18
2021-07-25,28
2021-08-01,29
2021-08-08,29
2021-08-15,22
2021-08-22,31
2021-08-29,34
2021-09-05,27
2021-09-12,20
2021-09-19,10
2021-09-26,28
2021-10-03,35
2021-10-10,58
2021-10-17,21
2021-10-24,12
2021-10-31,37
2021-11-07,17
2021-11-14,7
2021-11-21,16
2021-11-28,23
2021-12-05,25
2021-12-12,22
2021-12-19,49
2021-12-26,10
2022-01-02,33
2022-01-09,87
2022-01-16,41
2022-01-23,42
2022-01-30,15
2022-02-06,30
2022-02-13,21
2022-02-20,28
2022-02-27,39
2022-03-06,31
2022-03-13,25
2022-03-20,21
2022-03-27,55
2022-04-03,63
2022-04-10,24
2022-04-17,22
2022-04-24,29
2022-05-01,23
2022-05-08,27
2022-05-15,21
2022-05-22,33
2022-05-29,24
2022-06-05,30
2022-06-12,29
2022-06-19,33
2022-06-26,36
2022-07-03,25
2022-07-10,8
2022-07-17,29
2022-07-24,49
2022-07-31,32
2022-08-07,18
2022-08-14,41
2022-08-21,24
2022-08-28,35
2022-09-04,27
2022-09-11,34
2022-09-18,39
2022-09-25,96
2022-10-02,25
2022-10-09,24
2022-10-16,19
2022-10-23,31
2022-10-30,29
2022-11-06,30
2022-11-13,31
2022-11-20,30
2022-11-27,24
2022-12-04,28
2022-12-11,35
2022-12-18,25
2022-12-25,31
