Category: Food & Drink

Week,Laddu: (Delhi)
2018-01-07,45
2018-01-14,49
2018-01-21,39
2018-01-28,29
2018-02-04,25
2018-02-11,14
2018-02-18,25
2018-02-25,24
2018-03-04,23
2018-03-11,14
2018-03-18,27
2018-03-25,19
2018-04-01,13
2018-04-08,9
2018-04-15,22
2018-04-22,26
2018-04-29,25
2018-05-06,28
2018-05-13,18
2018-05-20,12
2018-05-27,17
2018-06-03,18
2018-06-10,19
2018-06-17,18
2018-06-24,25
2018-07-01,15
2018-07-08,20
2018-07-15,13
2018-07-22,23
2018-07-29,28
2018-08-05,21
2018-08-12,39
2018-08-19,36
2018-08-26,24
2018-09-02,35
2018-09-09,38
2018-09-16,37
2018-09-23,29
2018-09-30,31
2018-10-07,32
2018-10-14,24
2018-10-21,31
2018-10-28,39
2018-11-04,62
2018-11-11,35
2018-11-18,32
2018-11-25,42
2018-12-02,32
2018-12-09,40
2018-12-16,42
2018-12-23,51
2018-12-30,38
2019-01-06,53
2019-01-13,41
2019-01-20,44
2019-01-27,38
2019-02-03,17
2019-02-10,33
2019-02-17,24
2019-02-24,21
2019-03-03,30
2019-03-10,28
2019-03-17,26
2019-03-24,21
2019-03-31,20
2019-04-07,30
2019-04-14,22
2019-04-21,17
2019-04-28,18
2019-05-05,16
2019-05-12,19
2019-05-19,20
2019-05-26,29
2019-06-02,14
2019-06-09,14
2019-06-16,16
2019-06-23,16
2019-06-30,17
2019-07-07,16
2019-07-14,30
2019-07-21,22
2019-07-28,20
2019-08-04,38
2019-08-11,33
2019-08-18,41
2019-08-25,20
2019-09-01,35
2019-09-08,27
2019-09-15,28
2019-09-22,29
2019-09-29,35
2019-10-06,28
2019-10-13,24
2019-10-20,61
2019-10-27,40
2019-11-03,30
2019-11-10,27
2019-11-17,31
2019-11-24,28
2019-12-01,50
2019-12-08,41
2019-12-15,51
2019-12-22,48
2019-12-29,33
2020-01-05,51
2020-01-12,63
2020-01-19,42
2020-01-26,21
2020-02-02,22
2020-02-09,27
2020-02-16,25
2020-02-23,28
2020-03-01,32
2020-03-08,21
2020-03-15,24
2020-03-22,27
2020-03-29,48
2020-04-05,63
2020-04-12,73
2020-04-19,90
2020-04-26,87
2020-05-03,63
2020-05-10,73
2020-05-17,43
2020-05-24,42
2020-05-31,35
2020-06-07,38
2020-06-14,31
2020-06-21,36
2020-06-28,37
2020-07-05,40
2020-07-12,31
2020-07-19,35
2020-07-26,49
2020-08-02,70
2020-08-09,90
2020-08-16,65
2020-08-23,41
2020-08-30,38
2020-09-06,38
2020-09-13,28
2020-09-20,27
2020-09-27,40
2020-10-04,34
2020-10-11,32
2020-10-18,58
2020-10-25,40
2020-11-01,41
2020-11-08,100
2020-11-15,62
2020-11-22,38
2020-11-29,40
2020-12-06,51
2020-12-13,46
2020-12-20,61
2020-12-27,42
2021-01-03,57
2021-01-10,83
2021-01-17,43
2021-01-24,54
2021-01-31,45
2021-02-07,31
2021-02-14,19
2021-02-21,21
2021-02-28,20
2021-03-07,22
2021-03-14,24
2021-03-21,29
2021-03-28,35
2021-04-04,19
2021-04-11,39
2021-04-18,19
2021-04-25,26
2021-05-02,27
2021-05-09,34
2021-05-16,34
2021-05-23,37
2021-05-30,32
2021-06-06,28
2021-06-13,23
2021-06-20,21
2021-06-27,30
2021-07-04,28
2021-07-11,20
2021-07-18,26
2021-07-25,32
2021-08-01,33
2021-08-08,33
2021-08-15,44
2021-08-22,26
2021-08-29,44
2021-09-05,38
2021-09-12,31
2021-09-19,15
2021-09-26,24
2021-10-03,28
2021-10-10,34
2021-10-17,34
2021-10-24,27
2021-10-31,75
2021-11-07,25
2021-11-14,33
2021-11-21,50
2021-11-28,46
2021-12-05,27
2021-12-12,45
2021-12-19,27
2021-12-26,46
2022-01-02,52
2022-01-09,87
2022-01-16,79
2022-01-23,68
2022-01-30,43
2022-02-06,32
2022-02-13,34
2022-02-20,28
2022-02-27,23
2022-03-06,27
2022-03-13,38
2022-03-20,16
2022-03-27,25
2022-04-03,26
2022-04-10,21
2022-04-17,23
2022-04-24,15
2022-05-01,25
2022-05-08,22
2022-05-15,27
2022-05-22,19
2022-05-29,16
2022-06-05,26
2022-06-12,27
2022-06-19,22
2022-06-26,26
2022-07-03,21
2022-07-10,29
2022-07-17,29
2022-07-24,28
2022-07-31,32
2022-08-07,50
2022-08-14,52
2022-08-21,39
2022-08-28,69
2022-09-04,29
2022-09-11,44
2022-09-18,36
2022-09-25,54
2022-10-02,44
2022-10-09,40
2022-10-16,50
2022-10-23,48
2022-10-30,48
2022-11-06,33
2022-11-13,43
2022-11-20,50
2022-11-27,49
2022-12-04,46
2022-12-11,42
2022-12-18,61
2022-12-25,81
