Category: Food & Drink

Week,Lassi: (Delhi)
2018-01-07,0
2018-01-14,0
2018-01-21,18
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,17
2018-02-25,32
2018-03-04,19
2018-03-11,30
2018-03-18,31
2018-03-25,27
2018-04-01,0
2018-04-08,37
2018-04-15,30
2018-04-22,39
2018-04-29,27
2018-05-06,37
2018-05-13,47
2018-05-20,64
2018-05-27,52
2018-06-03,15
2018-06-10,38
2018-06-17,16
2018-06-24,24
2018-07-01,43
2018-07-08,0
2018-07-15,30
2018-07-22,11
2018-07-29,35
2018-08-05,0
2018-08-12,29
2018-08-19,13
2018-08-26,0
2018-09-02,16
2018-09-09,0
2018-09-16,32
2018-09-23,26
2018-09-30,27
2018-10-07,0
2018-10-14,28
2018-10-21,45
2018-10-28,31
2018-11-04,0
2018-11-11,0
2018-11-18,29
2018-11-25,17
2018-12-02,0
2018-12-09,38
2018-12-16,0
2018-12-23,28
2018-12-30,14
2019-01-06,20
2019-01-13,16
2019-01-20,0
2019-01-27,17
2019-02-03,0
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,0
2019-03-10,15
2019-03-17,18
2019-03-24,0
2019-03-31,48
2019-04-07,100
2019-04-14,33
2019-04-21,28
2019-04-28,52
2019-05-05,29
2019-05-12,46
2019-05-19,31
2019-05-26,32
2019-06-02,45
2019-06-09,50
2019-06-16,15
2019-06-23,21
2019-06-30,0
2019-07-07,27
2019-07-14,0
2019-07-21,37
2019-07-28,0
2019-08-04,28
2019-08-11,0
2019-08-18,0
2019-08-25,68
2019-09-01,16
2019-09-08,0
2019-09-15,18
2019-09-22,16
2019-09-29,18
2019-10-06,0
2019-10-13,18
2019-10-20,22
2019-10-27,16
2019-11-03,34
2019-11-10,14
2019-11-17,0
2019-11-24,14
2019-12-01,0
2019-12-08,28
2019-12-15,0
2019-12-22,0
2019-12-29,22
2020-01-05,0
2020-01-12,26
2020-01-19,0
2020-01-26,21
2020-02-02,25
2020-02-09,0
2020-02-16,17
2020-02-23,54
2020-03-01,22
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,21
2020-04-05,0
2020-04-12,60
2020-04-19,71
2020-04-26,38
2020-05-03,27
2020-05-10,62
2020-05-17,48
2020-05-24,41
2020-05-31,52
2020-06-07,25
2020-06-14,64
2020-06-21,20
2020-06-28,29
2020-07-05,42
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,17
2020-08-09,48
2020-08-16,12
2020-08-23,0
2020-08-30,15
2020-09-06,38
2020-09-13,22
2020-09-20,28
2020-09-27,0
2020-10-04,21
2020-10-11,24
2020-10-18,19
2020-10-25,21
2020-11-01,16
2020-11-08,0
2020-11-15,0
2020-11-22,18
2020-11-29,0
2020-12-06,32
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,19
2021-01-10,0
2021-01-17,25
2021-01-24,20
2021-01-31,0
2021-02-07,14
2021-02-14,30
2021-02-21,36
2021-02-28,45
2021-03-07,53
2021-03-14,23
2021-03-21,16
2021-03-28,46
2021-04-04,60
2021-04-11,40
2021-04-18,16
2021-04-25,26
2021-05-02,58
2021-05-09,18
2021-05-16,14
2021-05-23,35
2021-05-30,0
2021-06-06,64
2021-06-13,47
2021-06-20,41
2021-06-27,60
2021-07-04,22
2021-07-11,37
2021-07-18,17
2021-07-25,22
2021-08-01,28
2021-08-08,49
2021-08-15,79
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,40
2021-09-19,59
2021-09-26,0
2021-10-03,17
2021-10-10,77
2021-10-17,52
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,17
2021-12-05,35
2021-12-12,17
2021-12-19,30
2021-12-26,0
2022-01-02,31
2022-01-09,17
2022-01-16,38
2022-01-23,29
2022-01-30,40
2022-02-06,16
2022-02-13,13
2022-02-20,43
2022-02-27,28
2022-03-06,37
2022-03-13,54
2022-03-20,60
2022-03-27,45
2022-04-03,73
2022-04-10,87
2022-04-17,47
2022-04-24,28
2022-05-01,63
2022-05-08,93
2022-05-15,53
2022-05-22,75
2022-05-29,57
2022-06-05,58
2022-06-12,49
2022-06-19,38
2022-06-26,52
2022-07-03,13
2022-07-10,44
2022-07-17,53
2022-07-24,29
2022-07-31,41
2022-08-07,44
2022-08-14,54
2022-08-21,18
2022-08-28,60
2022-09-04,21
2022-09-11,16
2022-09-18,11
2022-09-25,41
2022-10-02,0
2022-10-09,14
2022-10-16,11
2022-10-23,0
2022-10-30,26
2022-11-06,22
2022-11-13,11
2022-11-20,0
2022-11-27,0
2022-12-04,26
2022-12-11,27
2022-12-18,0
2022-12-25,0
