Category: Food & Drink

Week,Orange: (Delhi)
2018-01-07,35
2018-01-14,44
2018-01-21,17
2018-01-28,14
2018-02-04,11
2018-02-11,30
2018-02-18,39
2018-02-25,54
2018-03-04,57
2018-03-11,24
2018-03-18,53
2018-03-25,33
2018-04-01,39
2018-04-08,37
2018-04-15,34
2018-04-22,40
2018-04-29,40
2018-05-06,29
2018-05-13,0
2018-05-20,25
2018-05-27,26
2018-06-03,37
2018-06-10,10
2018-06-17,14
2018-06-24,39
2018-07-01,40
2018-07-08,23
2018-07-15,19
2018-07-22,13
2018-07-29,17
2018-08-05,24
2018-08-12,17
2018-08-19,41
2018-08-26,30
2018-09-02,33
2018-09-09,17
2018-09-16,23
2018-09-23,12
2018-09-30,19
2018-10-07,17
2018-10-14,40
2018-10-21,25
2018-10-28,22
2018-11-04,58
2018-11-11,22
2018-11-18,44
2018-11-25,48
2018-12-02,42
2018-12-09,38
2018-12-16,32
2018-12-23,44
2018-12-30,23
2019-01-06,49
2019-01-13,25
2019-01-20,33
2019-01-27,44
2019-02-03,47
2019-02-10,37
2019-02-17,48
2019-02-24,47
2019-03-03,41
2019-03-10,47
2019-03-17,49
2019-03-24,60
2019-03-31,17
2019-04-07,19
2019-04-14,18
2019-04-21,43
2019-04-28,19
2019-05-05,38
2019-05-12,39
2019-05-19,27
2019-05-26,26
2019-06-02,37
2019-06-09,35
2019-06-16,45
2019-06-23,35
2019-06-30,55
2019-07-07,24
2019-07-14,11
2019-07-21,11
2019-07-28,25
2019-08-04,18
2019-08-11,21
2019-08-18,0
2019-08-25,22
2019-09-01,47
2019-09-08,30
2019-09-15,11
2019-09-22,68
2019-09-29,14
2019-10-06,41
2019-10-13,17
2019-10-20,36
2019-10-27,34
2019-11-03,33
2019-11-10,26
2019-11-17,23
2019-11-24,40
2019-12-01,50
2019-12-08,29
2019-12-15,40
2019-12-22,40
2019-12-29,24
2020-01-05,27
2020-01-12,41
2020-01-19,69
2020-01-26,51
2020-02-02,51
2020-02-09,60
2020-02-16,64
2020-02-23,39
2020-03-01,51
2020-03-08,57
2020-03-15,77
2020-03-22,41
2020-03-29,51
2020-04-05,46
2020-04-12,51
2020-04-19,66
2020-04-26,47
2020-05-03,51
2020-05-10,63
2020-05-17,60
2020-05-24,56
2020-05-31,33
2020-06-07,50
2020-06-14,51
2020-06-21,38
2020-06-28,45
2020-07-05,46
2020-07-12,42
2020-07-19,30
2020-07-26,29
2020-08-02,19
2020-08-09,52
2020-08-16,21
2020-08-23,39
2020-08-30,33
2020-09-06,35
2020-09-13,49
2020-09-20,35
2020-09-27,10
2020-10-04,42
2020-10-11,34
2020-10-18,36
2020-10-25,36
2020-11-01,49
2020-11-08,45
2020-11-15,67
2020-11-22,56
2020-11-29,62
2020-12-06,63
2020-12-13,73
2020-12-20,92
2020-12-27,38
2021-01-03,74
2021-01-10,52
2021-01-17,44
2021-01-24,73
2021-01-31,51
2021-02-07,42
2021-02-14,39
2021-02-21,79
2021-02-28,43
2021-03-07,57
2021-03-14,49
2021-03-21,100
2021-03-28,36
2021-04-04,72
2021-04-11,0
2021-04-18,65
2021-04-25,66
2021-05-02,55
2021-05-09,53
2021-05-16,34
2021-05-23,57
2021-05-30,55
2021-06-06,43
2021-06-13,26
2021-06-20,41
2021-06-27,32
2021-07-04,22
2021-07-11,29
2021-07-18,25
2021-07-25,33
2021-08-01,0
2021-08-08,34
2021-08-15,25
2021-08-22,35
2021-08-29,22
2021-09-05,55
2021-09-12,41
2021-09-19,34
2021-09-26,37
2021-10-03,25
2021-10-10,41
2021-10-17,39
2021-10-24,49
2021-10-31,41
2021-11-07,34
2021-11-14,52
2021-11-21,28
2021-11-28,31
2021-12-05,41
2021-12-12,47
2021-12-19,63
2021-12-26,45
2022-01-02,49
2022-01-09,11
2022-01-16,26
2022-01-23,85
2022-01-30,54
2022-02-06,59
2022-02-13,63
2022-02-20,46
2022-02-27,37
2022-03-06,47
2022-03-13,46
2022-03-20,37
2022-03-27,60
2022-04-03,40
2022-04-10,37
2022-04-17,58
2022-04-24,49
2022-05-01,46
2022-05-08,42
2022-05-15,30
2022-05-22,38
2022-05-29,23
2022-06-05,41
2022-06-12,41
2022-06-19,41
2022-06-26,27
2022-07-03,27
2022-07-10,35
2022-07-17,35
2022-07-24,24
2022-07-31,48
2022-08-07,35
2022-08-14,20
2022-08-21,43
2022-08-28,30
2022-09-04,35
2022-09-11,41
2022-09-18,40
2022-09-25,19
2022-10-02,30
2022-10-09,27
2022-10-16,51
2022-10-23,28
2022-10-30,27
2022-11-06,39
2022-11-13,59
2022-11-20,45
2022-11-27,47
2022-12-04,54
2022-12-11,51
2022-12-18,55
2022-12-25,83
