Category: Food & Drink

Week,Papadam: (Delhi)
2018-01-07,12
2018-01-14,15
2018-01-21,35
2018-01-28,16
2018-02-04,46
2018-02-11,22
2018-02-18,31
2018-02-25,67
2018-03-04,33
2018-03-11,55
2018-03-18,23
2018-03-25,26
2018-04-01,15
2018-04-08,37
2018-04-15,14
2018-04-22,22
2018-04-29,27
2018-05-06,20
2018-05-13,36
2018-05-20,36
2018-05-27,22
2018-06-03,0
2018-06-10,38
2018-06-17,32
2018-06-24,10
2018-07-01,54
2018-07-08,0
2018-07-15,27
2018-07-22,0
2018-07-29,29
2018-08-05,26
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,15
2018-09-09,0
2018-09-16,48
2018-09-23,38
2018-09-30,10
2018-10-07,18
2018-10-14,62
2018-10-21,37
2018-10-28,26
2018-11-04,19
2018-11-11,37
2018-11-18,54
2018-11-25,31
2018-12-02,35
2018-12-09,33
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,40
2019-01-20,0
2019-01-27,14
2019-02-03,15
2019-02-10,0
2019-02-17,21
2019-02-24,31
2019-03-03,61
2019-03-10,72
2019-03-17,80
2019-03-24,34
2019-03-31,51
2019-04-07,14
2019-04-14,21
2019-04-21,27
2019-04-28,55
2019-05-05,33
2019-05-12,24
2019-05-19,25
2019-05-26,45
2019-06-02,30
2019-06-09,32
2019-06-16,17
2019-06-23,34
2019-06-30,26
2019-07-07,9
2019-07-14,23
2019-07-21,18
2019-07-28,19
2019-08-04,18
2019-08-11,21
2019-08-18,21
2019-08-25,21
2019-09-01,0
2019-09-08,41
2019-09-15,17
2019-09-22,16
2019-09-29,24
2019-10-06,38
2019-10-13,18
2019-10-20,0
2019-10-27,22
2019-11-03,18
2019-11-10,0
2019-11-17,40
2019-11-24,0
2019-12-01,41
2019-12-08,11
2019-12-15,37
2019-12-22,35
2019-12-29,14
2020-01-05,23
2020-01-12,0
2020-01-19,26
2020-01-26,28
2020-02-02,28
2020-02-09,17
2020-02-16,37
2020-02-23,79
2020-03-01,57
2020-03-08,13
2020-03-15,0
2020-03-22,31
2020-03-29,49
2020-04-05,54
2020-04-12,62
2020-04-19,56
2020-04-26,47
2020-05-03,51
2020-05-10,70
2020-05-17,60
2020-05-24,93
2020-05-31,68
2020-06-07,59
2020-06-14,44
2020-06-21,45
2020-06-28,57
2020-07-05,47
2020-07-12,37
2020-07-19,70
2020-07-26,51
2020-08-02,23
2020-08-09,22
2020-08-16,49
2020-08-23,19
2020-08-30,16
2020-09-06,58
2020-09-13,56
2020-09-20,19
2020-09-27,38
2020-10-04,65
2020-10-11,22
2020-10-18,32
2020-10-25,41
2020-11-01,15
2020-11-08,11
2020-11-15,16
2020-11-22,0
2020-11-29,23
2020-12-06,0
2020-12-13,29
2020-12-20,29
2020-12-27,53
2021-01-03,10
2021-01-10,50
2021-01-17,22
2021-01-24,31
2021-01-31,74
2021-02-07,15
2021-02-14,53
2021-02-21,50
2021-02-28,50
2021-03-07,29
2021-03-14,74
2021-03-21,75
2021-03-28,74
2021-04-04,67
2021-04-11,45
2021-04-18,19
2021-04-25,0
2021-05-02,39
2021-05-09,84
2021-05-16,57
2021-05-23,82
2021-05-30,55
2021-06-06,15
2021-06-13,27
2021-06-20,40
2021-06-27,38
2021-07-04,32
2021-07-11,33
2021-07-18,31
2021-07-25,33
2021-08-01,28
2021-08-08,0
2021-08-15,25
2021-08-22,21
2021-08-29,27
2021-09-05,39
2021-09-12,75
2021-09-19,17
2021-09-26,22
2021-10-03,37
2021-10-10,100
2021-10-17,61
2021-10-24,42
2021-10-31,19
2021-11-07,52
2021-11-14,67
2021-11-21,13
2021-11-28,39
2021-12-05,0
2021-12-12,29
2021-12-19,60
2021-12-26,22
2022-01-02,18
2022-01-09,13
2022-01-16,46
2022-01-23,40
2022-01-30,27
2022-02-06,22
2022-02-13,67
2022-02-20,58
2022-02-27,87
2022-03-06,100
2022-03-13,71
2022-03-20,82
2022-03-27,38
2022-04-03,38
2022-04-10,52
2022-04-17,32
2022-04-24,42
2022-05-01,69
2022-05-08,51
2022-05-15,30
2022-05-22,0
2022-05-29,33
2022-06-05,31
2022-06-12,31
2022-06-19,30
2022-06-26,15
2022-07-03,46
2022-07-10,34
2022-07-17,0
2022-07-24,55
2022-07-31,33
2022-08-07,33
2022-08-14,48
2022-08-21,49
2022-08-28,34
2022-09-04,37
2022-09-11,48
2022-09-18,37
2022-09-25,35
2022-10-02,57
2022-10-09,37
2022-10-16,29
2022-10-23,21
2022-10-30,18
2022-11-06,16
2022-11-13,37
2022-11-20,42
2022-11-27,53
2022-12-04,21
2022-12-11,41
2022-12-18,29
2022-12-25,49
