Category: Food & Drink

Week,Paratha: (Delhi)
2018-01-07,71
2018-01-14,72
2018-01-21,62
2018-01-28,52
2018-02-04,58
2018-02-11,57
2018-02-18,71
2018-02-25,28
2018-03-04,62
2018-03-11,38
2018-03-18,47
2018-03-25,63
2018-04-01,47
2018-04-08,47
2018-04-15,55
2018-04-22,63
2018-04-29,53
2018-05-06,56
2018-05-13,29
2018-05-20,53
2018-05-27,29
2018-06-03,58
2018-06-10,48
2018-06-17,42
2018-06-24,44
2018-07-01,55
2018-07-08,68
2018-07-15,58
2018-07-22,50
2018-07-29,60
2018-08-05,42
2018-08-12,55
2018-08-19,51
2018-08-26,69
2018-09-02,58
2018-09-09,55
2018-09-16,53
2018-09-23,65
2018-09-30,63
2018-10-07,44
2018-10-14,54
2018-10-21,61
2018-10-28,68
2018-11-04,70
2018-11-11,85
2018-11-18,83
2018-11-25,52
2018-12-02,72
2018-12-09,72
2018-12-16,72
2018-12-23,82
2018-12-30,64
2019-01-06,62
2019-01-13,76
2019-01-20,68
2019-01-27,74
2019-02-03,72
2019-02-10,49
2019-02-17,65
2019-02-24,56
2019-03-03,52
2019-03-10,44
2019-03-17,50
2019-03-24,33
2019-03-31,48
2019-04-07,45
2019-04-14,45
2019-04-21,53
2019-04-28,49
2019-05-05,37
2019-05-12,45
2019-05-19,45
2019-05-26,41
2019-06-02,55
2019-06-09,39
2019-06-16,36
2019-06-23,44
2019-06-30,31
2019-07-07,60
2019-07-14,62
2019-07-21,48
2019-07-28,55
2019-08-04,56
2019-08-11,35
2019-08-18,61
2019-08-25,54
2019-09-01,53
2019-09-08,59
2019-09-15,53
2019-09-22,37
2019-09-29,49
2019-10-06,43
2019-10-13,50
2019-10-20,52
2019-10-27,57
2019-11-03,66
2019-11-10,62
2019-11-17,68
2019-11-24,81
2019-12-01,98
2019-12-08,53
2019-12-15,60
2019-12-22,86
2019-12-29,64
2020-01-05,65
2020-01-12,65
2020-01-19,62
2020-01-26,49
2020-02-02,64
2020-02-09,59
2020-02-16,49
2020-02-23,49
2020-03-01,34
2020-03-08,46
2020-03-15,39
2020-03-22,72
2020-03-29,62
2020-04-05,100
2020-04-12,91
2020-04-19,90
2020-04-26,75
2020-05-03,63
2020-05-10,88
2020-05-17,76
2020-05-24,50
2020-05-31,67
2020-06-07,66
2020-06-14,85
2020-06-21,58
2020-06-28,62
2020-07-05,63
2020-07-12,55
2020-07-19,56
2020-07-26,67
2020-08-02,55
2020-08-09,54
2020-08-16,66
2020-08-23,53
2020-08-30,61
2020-09-06,47
2020-09-13,53
2020-09-20,51
2020-09-27,50
2020-10-04,57
2020-10-11,57
2020-10-18,28
2020-10-25,41
2020-11-01,42
2020-11-08,63
2020-11-15,86
2020-11-22,77
2020-11-29,71
2020-12-06,62
2020-12-13,65
2020-12-20,83
2020-12-27,73
2021-01-03,79
2021-01-10,65
2021-01-17,47
2021-01-24,61
2021-01-31,50
2021-02-07,43
2021-02-14,44
2021-02-21,61
2021-02-28,54
2021-03-07,55
2021-03-14,54
2021-03-21,75
2021-03-28,54
2021-04-04,51
2021-04-11,44
2021-04-18,37
2021-04-25,67
2021-05-02,15
2021-05-09,57
2021-05-16,49
2021-05-23,69
2021-05-30,45
2021-06-06,53
2021-06-13,48
2021-06-20,40
2021-06-27,41
2021-07-04,32
2021-07-11,41
2021-07-18,45
2021-07-25,48
2021-08-01,43
2021-08-08,41
2021-08-15,35
2021-08-22,59
2021-08-29,37
2021-09-05,43
2021-09-12,43
2021-09-19,51
2021-09-26,34
2021-10-03,49
2021-10-10,39
2021-10-17,65
2021-10-24,40
2021-10-31,33
2021-11-07,44
2021-11-14,50
2021-11-21,56
2021-11-28,56
2021-12-05,65
2021-12-12,56
2021-12-19,77
2021-12-26,59
2022-01-02,70
2022-01-09,52
2022-01-16,78
2022-01-23,36
2022-01-30,58
2022-02-06,53
2022-02-13,46
2022-02-20,44
2022-02-27,67
2022-03-06,42
2022-03-13,45
2022-03-20,51
2022-03-27,47
2022-04-03,41
2022-04-10,34
2022-04-17,42
2022-04-24,47
2022-05-01,49
2022-05-08,29
2022-05-15,58
2022-05-22,56
2022-05-29,48
2022-06-05,55
2022-06-12,57
2022-06-19,44
2022-06-26,71
2022-07-03,40
2022-07-10,49
2022-07-17,57
2022-07-24,41
2022-07-31,40
2022-08-07,38
2022-08-14,49
2022-08-21,50
2022-08-28,36
2022-09-04,63
2022-09-11,52
2022-09-18,56
2022-09-25,49
2022-10-02,36
2022-10-09,54
2022-10-16,35
2022-10-23,53
2022-10-30,42
2022-11-06,56
2022-11-13,68
2022-11-20,67
2022-11-27,71
2022-12-04,62
2022-12-11,65
2022-12-18,61
2022-12-25,76
