Category: Food & Drink

Week,Petha: (Delhi)
2018-01-07,0
2018-01-14,24
2018-01-21,17
2018-01-28,0
2018-02-04,33
2018-02-11,41
2018-02-18,0
2018-02-25,0
2018-03-04,18
2018-03-11,0
2018-03-18,47
2018-03-25,64
2018-04-01,0
2018-04-08,22
2018-04-15,0
2018-04-22,18
2018-04-29,27
2018-05-06,33
2018-05-13,48
2018-05-20,17
2018-05-27,0
2018-06-03,0
2018-06-10,19
2018-06-17,0
2018-06-24,0
2018-07-01,15
2018-07-08,34
2018-07-15,15
2018-07-22,20
2018-07-29,44
2018-08-05,0
2018-08-12,14
2018-08-19,45
2018-08-26,0
2018-09-02,0
2018-09-09,49
2018-09-16,0
2018-09-23,30
2018-09-30,32
2018-10-07,26
2018-10-14,20
2018-10-21,72
2018-10-28,16
2018-11-04,28
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,18
2018-12-23,15
2018-12-30,0
2019-01-06,51
2019-01-13,0
2019-01-20,0
2019-01-27,22
2019-02-03,34
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,0
2019-03-10,0
2019-03-17,20
2019-03-24,0
2019-03-31,0
2019-04-07,48
2019-04-14,46
2019-04-21,43
2019-04-28,22
2019-05-05,0
2019-05-12,56
2019-05-19,0
2019-05-26,33
2019-06-02,0
2019-06-09,0
2019-06-16,24
2019-06-23,52
2019-06-30,0
2019-07-07,42
2019-07-14,18
2019-07-21,28
2019-07-28,59
2019-08-04,25
2019-08-11,0
2019-08-18,30
2019-08-25,19
2019-09-01,28
2019-09-08,21
2019-09-15,0
2019-09-22,0
2019-09-29,34
2019-10-06,55
2019-10-13,0
2019-10-20,38
2019-10-27,85
2019-11-03,0
2019-11-10,0
2019-11-17,17
2019-11-24,0
2019-12-01,0
2019-12-08,27
2019-12-15,100
2019-12-22,16
2019-12-29,50
2020-01-05,0
2020-01-12,0
2020-01-19,23
2020-01-26,28
2020-02-02,50
2020-02-09,27
2020-02-16,47
2020-02-23,21
2020-03-01,74
2020-03-08,50
2020-03-15,0
2020-03-22,55
2020-03-29,0
2020-04-05,24
2020-04-12,43
2020-04-19,0
2020-04-26,44
2020-05-03,80
2020-05-10,0
2020-05-17,41
2020-05-24,32
2020-05-31,44
2020-06-07,0
2020-06-14,70
2020-06-21,36
2020-06-28,29
2020-07-05,22
2020-07-12,64
2020-07-19,22
2020-07-26,22
2020-08-02,53
2020-08-09,18
2020-08-16,40
2020-08-23,37
2020-08-30,31
2020-09-06,48
2020-09-13,69
2020-09-20,51
2020-09-27,41
2020-10-04,29
2020-10-11,35
2020-10-18,0
2020-10-25,54
2020-11-01,0
2020-11-08,30
2020-11-15,21
2020-11-22,20
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,29
2021-01-10,23
2021-01-17,18
2021-01-24,0
2021-01-31,33
2021-02-07,0
2021-02-14,20
2021-02-21,22
2021-02-28,25
2021-03-07,0
2021-03-14,24
2021-03-21,18
2021-03-28,25
2021-04-04,0
2021-04-11,84
2021-04-18,50
2021-04-25,50
2021-05-02,0
2021-05-09,0
2021-05-16,59
2021-05-23,53
2021-05-30,62
2021-06-06,27
2021-06-13,46
2021-06-20,91
2021-06-27,36
2021-07-04,83
2021-07-11,0
2021-07-18,0
2021-07-25,51
2021-08-01,32
2021-08-08,43
2021-08-15,20
2021-08-22,50
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,34
2021-10-03,60
2021-10-10,61
2021-10-17,50
2021-10-24,39
2021-10-31,0
2021-11-07,36
2021-11-14,0
2021-11-21,0
2021-11-28,29
2021-12-05,0
2021-12-12,68
2021-12-19,46
2021-12-26,0
2022-01-02,19
2022-01-09,0
2022-01-16,22
2022-01-23,0
2022-01-30,40
2022-02-06,16
2022-02-13,44
2022-02-20,32
2022-02-27,22
2022-03-06,44
2022-03-13,37
2022-03-20,0
2022-03-27,34
2022-04-03,33
2022-04-10,29
2022-04-17,0
2022-04-24,38
2022-05-01,17
2022-05-08,23
2022-05-15,59
2022-05-22,20
2022-05-29,62
2022-06-05,32
2022-06-12,35
2022-06-19,44
2022-06-26,44
2022-07-03,28
2022-07-10,63
2022-07-17,20
2022-07-24,55
2022-07-31,27
2022-08-07,0
2022-08-14,32
2022-08-21,19
2022-08-28,26
2022-09-04,19
2022-09-11,0
2022-09-18,19
2022-09-25,86
2022-10-02,15
2022-10-09,46
2022-10-16,0
2022-10-23,51
2022-10-30,48
2022-11-06,38
2022-11-13,54
2022-11-20,20
2022-11-27,19
2022-12-04,27
2022-12-11,0
2022-12-18,17
2022-12-25,18
