Category: Food & Drink

Week,Rajma: (Delhi)
2018-01-07,21
2018-01-14,47
2018-01-21,25
2018-01-28,19
2018-02-04,43
2018-02-11,29
2018-02-18,0
2018-02-25,18
2018-03-04,25
2018-03-11,34
2018-03-18,30
2018-03-25,20
2018-04-01,38
2018-04-08,70
2018-04-15,31
2018-04-22,46
2018-04-29,42
2018-05-06,0
2018-05-13,71
2018-05-20,50
2018-05-27,60
2018-06-03,21
2018-06-10,40
2018-06-17,14
2018-06-24,0
2018-07-01,31
2018-07-08,48
2018-07-15,43
2018-07-22,51
2018-07-29,44
2018-08-05,34
2018-08-12,64
2018-08-19,33
2018-08-26,63
2018-09-02,37
2018-09-09,19
2018-09-16,29
2018-09-23,25
2018-09-30,40
2018-10-07,0
2018-10-14,26
2018-10-21,0
2018-10-28,28
2018-11-04,15
2018-11-11,21
2018-11-18,0
2018-11-25,53
2018-12-02,38
2018-12-09,19
2018-12-16,20
2018-12-23,30
2018-12-30,44
2019-01-06,48
2019-01-13,49
2019-01-20,0
2019-01-27,0
2019-02-03,38
2019-02-10,10
2019-02-17,0
2019-02-24,30
2019-03-03,45
2019-03-10,32
2019-03-17,29
2019-03-24,16
2019-03-31,17
2019-04-07,19
2019-04-14,31
2019-04-21,0
2019-04-28,34
2019-05-05,39
2019-05-12,29
2019-05-19,22
2019-05-26,39
2019-06-02,12
2019-06-09,12
2019-06-16,32
2019-06-23,15
2019-06-30,38
2019-07-07,0
2019-07-14,42
2019-07-21,23
2019-07-28,21
2019-08-04,39
2019-08-11,17
2019-08-18,11
2019-08-25,11
2019-09-01,22
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,27
2019-10-13,0
2019-10-20,47
2019-10-27,32
2019-11-03,22
2019-11-10,37
2019-11-17,33
2019-11-24,38
2019-12-01,45
2019-12-08,18
2019-12-15,14
2019-12-22,32
2019-12-29,14
2020-01-05,25
2020-01-12,35
2020-01-19,26
2020-01-26,43
2020-02-02,27
2020-02-09,0
2020-02-16,34
2020-02-23,43
2020-03-01,48
2020-03-08,15
2020-03-15,32
2020-03-22,100
2020-03-29,73
2020-04-05,52
2020-04-12,54
2020-04-19,70
2020-04-26,43
2020-05-03,26
2020-05-10,52
2020-05-17,25
2020-05-24,70
2020-05-31,17
2020-06-07,58
2020-06-14,47
2020-06-21,22
2020-06-28,36
2020-07-05,62
2020-07-12,78
2020-07-19,29
2020-07-26,23
2020-08-02,26
2020-08-09,60
2020-08-16,0
2020-08-23,22
2020-08-30,20
2020-09-06,29
2020-09-13,38
2020-09-20,25
2020-09-27,0
2020-10-04,45
2020-10-11,0
2020-10-18,42
2020-10-25,0
2020-11-01,64
2020-11-08,26
2020-11-15,16
2020-11-22,0
2020-11-29,27
2020-12-06,28
2020-12-13,23
2020-12-20,22
2020-12-27,36
2021-01-03,24
2021-01-10,41
2021-01-17,41
2021-01-24,67
2021-01-31,32
2021-02-07,0
2021-02-14,16
2021-02-21,46
2021-02-28,54
2021-03-07,27
2021-03-14,29
2021-03-21,0
2021-03-28,43
2021-04-04,22
2021-04-11,35
2021-04-18,63
2021-04-25,41
2021-05-02,25
2021-05-09,92
2021-05-16,34
2021-05-23,22
2021-05-30,45
2021-06-06,23
2021-06-13,32
2021-06-20,32
2021-06-27,22
2021-07-04,39
2021-07-11,33
2021-07-18,83
2021-07-25,37
2021-08-01,38
2021-08-08,18
2021-08-15,49
2021-08-22,37
2021-08-29,44
2021-09-05,0
2021-09-12,34
2021-09-19,29
2021-09-26,0
2021-10-03,38
2021-10-10,0
2021-10-17,0
2021-10-24,35
2021-10-31,20
2021-11-07,58
2021-11-14,81
2021-11-21,21
2021-11-28,22
2021-12-05,36
2021-12-12,0
2021-12-19,35
2021-12-26,33
2022-01-02,63
2022-01-09,26
2022-01-16,0
2022-01-23,22
2022-01-30,0
2022-02-06,34
2022-02-13,0
2022-02-20,48
2022-02-27,40
2022-03-06,0
2022-03-13,29
2022-03-20,41
2022-03-27,38
2022-04-03,18
2022-04-10,34
2022-04-17,0
2022-04-24,28
2022-05-01,26
2022-05-08,49
2022-05-15,0
2022-05-22,0
2022-05-29,32
2022-06-05,24
2022-06-12,29
2022-06-19,60
2022-06-26,28
2022-07-03,33
2022-07-10,0
2022-07-17,25
2022-07-24,0
2022-07-31,9
2022-08-07,28
2022-08-14,26
2022-08-21,44
2022-08-28,9
2022-09-04,38
2022-09-11,30
2022-09-18,17
2022-09-25,31
2022-10-02,0
2022-10-09,17
2022-10-16,12
2022-10-23,28
2022-10-30,31
2022-11-06,35
2022-11-13,31
2022-11-20,15
2022-11-27,13
2022-12-04,0
2022-12-11,38
2022-12-18,0
2022-12-25,14
