Category: Food & Drink

Week,Rasam: (Delhi)
2018-01-07,62
2018-01-14,18
2018-01-21,28
2018-01-28,46
2018-02-04,25
2018-02-11,34
2018-02-18,0
2018-02-25,0
2018-03-04,22
2018-03-11,43
2018-03-18,0
2018-03-25,0
2018-04-01,54
2018-04-08,15
2018-04-15,24
2018-04-22,23
2018-04-29,23
2018-05-06,0
2018-05-13,26
2018-05-20,16
2018-05-27,28
2018-06-03,17
2018-06-10,0
2018-06-17,17
2018-06-24,19
2018-07-01,13
2018-07-08,0
2018-07-15,43
2018-07-22,0
2018-07-29,31
2018-08-05,29
2018-08-12,15
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,0
2018-09-16,14
2018-09-23,22
2018-09-30,0
2018-10-07,0
2018-10-14,24
2018-10-21,20
2018-10-28,20
2018-11-04,35
2018-11-11,0
2018-11-18,24
2018-11-25,52
2018-12-02,20
2018-12-09,0
2018-12-16,18
2018-12-23,16
2018-12-30,41
2019-01-06,13
2019-01-13,20
2019-01-20,17
2019-01-27,0
2019-02-03,20
2019-02-10,49
2019-02-17,17
2019-02-24,19
2019-03-03,16
2019-03-10,0
2019-03-17,41
2019-03-24,0
2019-03-31,0
2019-04-07,0
2019-04-14,57
2019-04-21,15
2019-04-28,0
2019-05-05,18
2019-05-12,16
2019-05-19,0
2019-05-26,90
2019-06-02,42
2019-06-09,26
2019-06-16,27
2019-06-23,21
2019-06-30,15
2019-07-07,19
2019-07-14,0
2019-07-21,57
2019-07-28,0
2019-08-04,0
2019-08-11,29
2019-08-18,29
2019-08-25,0
2019-09-01,0
2019-09-08,24
2019-09-15,0
2019-09-22,0
2019-09-29,35
2019-10-06,35
2019-10-13,76
2019-10-20,24
2019-10-27,0
2019-11-03,19
2019-11-10,32
2019-11-17,17
2019-11-24,41
2019-12-01,18
2019-12-08,0
2019-12-15,19
2019-12-22,0
2019-12-29,23
2020-01-05,30
2020-01-12,21
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,43
2020-02-16,14
2020-02-23,33
2020-03-01,23
2020-03-08,0
2020-03-15,38
2020-03-22,34
2020-03-29,67
2020-04-05,36
2020-04-12,29
2020-04-19,67
2020-04-26,71
2020-05-03,43
2020-05-10,31
2020-05-17,100
2020-05-24,36
2020-05-31,61
2020-06-07,22
2020-06-14,28
2020-06-21,53
2020-06-28,16
2020-07-05,0
2020-07-12,0
2020-07-19,41
2020-07-26,42
2020-08-02,37
2020-08-09,17
2020-08-16,0
2020-08-23,33
2020-08-30,19
2020-09-06,18
2020-09-13,47
2020-09-20,25
2020-09-27,0
2020-10-04,14
2020-10-11,38
2020-10-18,15
2020-10-25,0
2020-11-01,61
2020-11-08,35
2020-11-15,35
2020-11-22,0
2020-11-29,19
2020-12-06,55
2020-12-13,38
2020-12-20,0
2020-12-27,0
2021-01-03,19
2021-01-10,35
2021-01-17,20
2021-01-24,62
2021-01-31,33
2021-02-07,0
2021-02-14,26
2021-02-21,31
2021-02-28,33
2021-03-07,27
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,22
2021-04-18,0
2021-04-25,78
2021-05-02,34
2021-05-09,42
2021-05-16,0
2021-05-23,32
2021-05-30,0
2021-06-06,34
2021-06-13,0
2021-06-20,0
2021-06-27,51
2021-07-04,0
2021-07-11,50
2021-07-18,0
2021-07-25,0
2021-08-01,25
2021-08-08,23
2021-08-15,0
2021-08-22,56
2021-08-29,0
2021-09-05,25
2021-09-12,21
2021-09-19,29
2021-09-26,73
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,58
2021-11-07,0
2021-11-14,37
2021-11-21,28
2021-11-28,22
2021-12-05,29
2021-12-12,28
2021-12-19,17
2021-12-26,0
2022-01-02,69
2022-01-09,39
2022-01-16,29
2022-01-23,36
2022-01-30,0
2022-02-06,41
2022-02-13,18
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,23
2022-03-20,12
2022-03-27,21
2022-04-03,20
2022-04-10,0
2022-04-17,10
2022-04-24,38
2022-05-01,17
2022-05-08,29
2022-05-15,14
2022-05-22,52
2022-05-29,13
2022-06-05,16
2022-06-12,0
2022-06-19,0
2022-06-26,11
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,39
2022-07-31,0
2022-08-07,16
2022-08-14,25
2022-08-21,19
2022-08-28,25
2022-09-04,0
2022-09-11,0
2022-09-18,13
2022-09-25,17
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,28
2022-10-30,46
2022-11-06,29
2022-11-13,29
2022-11-20,21
2022-11-27,13
2022-12-04,0
2022-12-11,26
2022-12-18,0
2022-12-25,0
