Category: Food & Drink

Week,Rice: (Delhi)
2018-01-07,29
2018-01-14,32
2018-01-21,40
2018-01-28,29
2018-02-04,30
2018-02-11,36
2018-02-18,28
2018-02-25,40
2018-03-04,43
2018-03-11,34
2018-03-18,44
2018-03-25,35
2018-04-01,41
2018-04-08,40
2018-04-15,38
2018-04-22,37
2018-04-29,38
2018-05-06,43
2018-05-13,35
2018-05-20,31
2018-05-27,34
2018-06-03,37
2018-06-10,37
2018-06-17,44
2018-06-24,41
2018-07-01,36
2018-07-08,38
2018-07-15,35
2018-07-22,40
2018-07-29,35
2018-08-05,33
2018-08-12,43
2018-08-19,42
2018-08-26,42
2018-09-02,43
2018-09-09,36
2018-09-16,38
2018-09-23,40
2018-09-30,42
2018-10-07,44
2018-10-14,36
2018-10-21,34
2018-10-28,31
2018-11-04,36
2018-11-11,36
2018-11-18,39
2018-11-25,45
2018-12-02,37
2018-12-09,36
2018-12-16,45
2018-12-23,39
2018-12-30,31
2019-01-06,37
2019-01-13,36
2019-01-20,33
2019-01-27,36
2019-02-03,34
2019-02-10,41
2019-02-17,38
2019-02-24,27
2019-03-03,39
2019-03-10,36
2019-03-17,43
2019-03-24,38
2019-03-31,36
2019-04-07,56
2019-04-14,32
2019-04-21,48
2019-04-28,44
2019-05-05,37
2019-05-12,37
2019-05-19,42
2019-05-26,37
2019-06-02,36
2019-06-09,36
2019-06-16,39
2019-06-23,47
2019-06-30,42
2019-07-07,37
2019-07-14,44
2019-07-21,50
2019-07-28,41
2019-08-04,42
2019-08-11,43
2019-08-18,40
2019-08-25,49
2019-09-01,43
2019-09-08,48
2019-09-15,49
2019-09-22,39
2019-09-29,55
2019-10-06,40
2019-10-13,39
2019-10-20,37
2019-10-27,40
2019-11-03,35
2019-11-10,39
2019-11-17,34
2019-11-24,37
2019-12-01,32
2019-12-08,31
2019-12-15,27
2019-12-22,33
2019-12-29,34
2020-01-05,43
2020-01-12,32
2020-01-19,30
2020-01-26,44
2020-02-02,42
2020-02-09,31
2020-02-16,41
2020-02-23,39
2020-03-01,36
2020-03-08,41
2020-03-15,47
2020-03-22,71
2020-03-29,82
2020-04-05,89
2020-04-12,90
2020-04-19,100
2020-04-26,77
2020-05-03,84
2020-05-10,75
2020-05-17,75
2020-05-24,70
2020-05-31,72
2020-06-07,66
2020-06-14,71
2020-06-21,56
2020-06-28,59
2020-07-05,46
2020-07-12,59
2020-07-19,63
2020-07-26,55
2020-08-02,60
2020-08-09,57
2020-08-16,62
2020-08-23,58
2020-08-30,53
2020-09-06,54
2020-09-13,51
2020-09-20,57
2020-09-27,67
2020-10-04,52
2020-10-11,57
2020-10-18,56
2020-10-25,49
2020-11-01,39
2020-11-08,38
2020-11-15,44
2020-11-22,43
2020-11-29,49
2020-12-06,44
2020-12-13,40
2020-12-20,40
2020-12-27,46
2021-01-03,51
2021-01-10,49
2021-01-17,44
2021-01-24,45
2021-01-31,43
2021-02-07,37
2021-02-14,52
2021-02-21,47
2021-02-28,44
2021-03-07,41
2021-03-14,51
2021-03-21,48
2021-03-28,34
2021-04-04,52
2021-04-11,55
2021-04-18,58
2021-04-25,43
2021-05-02,54
2021-05-09,59
2021-05-16,65
2021-05-23,58
2021-05-30,64
2021-06-06,58
2021-06-13,46
2021-06-20,52
2021-06-27,48
2021-07-04,48
2021-07-11,59
2021-07-18,48
2021-07-25,44
2021-08-01,55
2021-08-08,50
2021-08-15,54
2021-08-22,45
2021-08-29,41
2021-09-05,55
2021-09-12,49
2021-09-19,47
2021-09-26,44
2021-10-03,59
2021-10-10,48
2021-10-17,41
2021-10-24,39
2021-10-31,36
2021-11-07,41
2021-11-14,36
2021-11-21,41
2021-11-28,37
2021-12-05,44
2021-12-12,39
2021-12-19,37
2021-12-26,32
2022-01-02,46
2022-01-09,56
2022-01-16,48
2022-01-23,44
2022-01-30,56
2022-02-06,38
2022-02-13,46
2022-02-20,48
2022-02-27,50
2022-03-06,48
2022-03-13,50
2022-03-20,49
2022-03-27,53
2022-04-03,62
2022-04-10,46
2022-04-17,49
2022-04-24,55
2022-05-01,47
2022-05-08,42
2022-05-15,52
2022-05-22,51
2022-05-29,53
2022-06-05,50
2022-06-12,50
2022-06-19,47
2022-06-26,53
2022-07-03,53
2022-07-10,56
2022-07-17,48
2022-07-24,51
2022-07-31,50
2022-08-07,52
2022-08-14,51
2022-08-21,49
2022-08-28,52
2022-09-04,49
2022-09-11,52
2022-09-18,54
2022-09-25,69
2022-10-02,55
2022-10-09,47
2022-10-16,42
2022-10-23,40
2022-10-30,49
2022-11-06,40
2022-11-13,43
2022-11-20,42
2022-11-27,50
2022-12-04,39
2022-12-11,39
2022-12-18,48
2022-12-25,43
