Category: Food & Drink

Week,Tandoori chicken: (Delhi)
2018-01-07,32
2018-01-14,62
2018-01-21,35
2018-01-28,36
2018-02-04,0
2018-02-11,26
2018-02-18,16
2018-02-25,44
2018-03-04,62
2018-03-11,27
2018-03-18,23
2018-03-25,55
2018-04-01,32
2018-04-08,0
2018-04-15,31
2018-04-22,55
2018-04-29,69
2018-05-06,57
2018-05-13,64
2018-05-20,35
2018-05-27,46
2018-06-03,53
2018-06-10,14
2018-06-17,57
2018-06-24,19
2018-07-01,42
2018-07-08,24
2018-07-15,49
2018-07-22,19
2018-07-29,24
2018-08-05,32
2018-08-12,29
2018-08-19,14
2018-08-26,49
2018-09-02,47
2018-09-09,15
2018-09-16,45
2018-09-23,45
2018-09-30,38
2018-10-07,20
2018-10-14,44
2018-10-21,46
2018-10-28,65
2018-11-04,42
2018-11-11,41
2018-11-18,33
2018-11-25,70
2018-12-02,28
2018-12-09,55
2018-12-16,74
2018-12-23,54
2018-12-30,76
2019-01-06,67
2019-01-13,46
2019-01-20,70
2019-01-27,100
2019-02-03,72
2019-02-10,69
2019-02-17,58
2019-02-24,23
2019-03-03,37
2019-03-10,56
2019-03-17,21
2019-03-24,46
2019-03-31,47
2019-04-07,38
2019-04-14,62
2019-04-21,30
2019-04-28,59
2019-05-05,12
2019-05-12,68
2019-05-19,79
2019-05-26,13
2019-06-02,27
2019-06-09,38
2019-06-16,43
2019-06-23,50
2019-06-30,42
2019-07-07,0
2019-07-14,36
2019-07-21,60
2019-07-28,61
2019-08-04,29
2019-08-11,60
2019-08-18,54
2019-08-25,12
2019-09-01,47
2019-09-08,71
2019-09-15,43
2019-09-22,36
2019-09-29,27
2019-10-06,63
2019-10-13,47
2019-10-20,63
2019-10-27,32
2019-11-03,55
2019-11-10,42
2019-11-17,39
2019-11-24,54
2019-12-01,50
2019-12-08,56
2019-12-15,31
2019-12-22,55
2019-12-29,36
2020-01-05,71
2020-01-12,40
2020-01-19,44
2020-01-26,22
2020-02-02,37
2020-02-09,12
2020-02-16,43
2020-02-23,37
2020-03-01,30
2020-03-08,40
2020-03-15,26
2020-03-22,0
2020-03-29,49
2020-04-05,57
2020-04-12,89
2020-04-19,81
2020-04-26,36
2020-05-03,77
2020-05-10,64
2020-05-17,61
2020-05-24,53
2020-05-31,56
2020-06-07,74
2020-06-14,45
2020-06-21,48
2020-06-28,42
2020-07-05,45
2020-07-12,63
2020-07-19,78
2020-07-26,21
2020-08-02,67
2020-08-09,76
2020-08-16,54
2020-08-23,53
2020-08-30,54
2020-09-06,72
2020-09-13,63
2020-09-20,42
2020-09-27,19
2020-10-04,12
2020-10-11,29
2020-10-18,0
2020-10-25,43
2020-11-01,63
2020-11-08,39
2020-11-15,76
2020-11-22,44
2020-11-29,38
2020-12-06,97
2020-12-13,53
2020-12-20,72
2020-12-27,82
2021-01-03,61
2021-01-10,97
2021-01-17,21
2021-01-24,86
2021-01-31,59
2021-02-07,53
2021-02-14,61
2021-02-21,43
2021-02-28,43
2021-03-07,55
2021-03-14,57
2021-03-21,41
2021-03-28,46
2021-04-04,43
2021-04-11,33
2021-04-18,25
2021-04-25,40
2021-05-02,56
2021-05-09,49
2021-05-16,68
2021-05-23,31
2021-05-30,98
2021-06-06,63
2021-06-13,62
2021-06-20,88
2021-06-27,80
2021-07-04,0
2021-07-11,23
2021-07-18,76
2021-07-25,48
2021-08-01,16
2021-08-08,33
2021-08-15,57
2021-08-22,57
2021-08-29,42
2021-09-05,55
2021-09-12,59
2021-09-19,25
2021-09-26,54
2021-10-03,52
2021-10-10,16
2021-10-17,43
2021-10-24,74
2021-10-31,0
2021-11-07,52
2021-11-14,44
2021-11-21,43
2021-11-28,43
2021-12-05,48
2021-12-12,75
2021-12-19,63
2021-12-26,15
2022-01-02,55
2022-01-09,70
2022-01-16,29
2022-01-23,49
2022-01-30,45
2022-02-06,36
2022-02-13,15
2022-02-20,44
2022-02-27,48
2022-03-06,29
2022-03-13,17
2022-03-20,35
2022-03-27,46
2022-04-03,43
2022-04-10,34
2022-04-17,13
2022-04-24,0
2022-05-01,38
2022-05-08,22
2022-05-15,17
2022-05-22,58
2022-05-29,27
2022-06-05,59
2022-06-12,38
2022-06-19,41
2022-06-26,10
2022-07-03,77
2022-07-10,53
2022-07-17,45
2022-07-24,22
2022-07-31,34
2022-08-07,40
2022-08-14,16
2022-08-21,46
2022-08-28,26
2022-09-04,46
2022-09-11,75
2022-09-18,49
2022-09-25,31
2022-10-02,48
2022-10-09,44
2022-10-16,25
2022-10-23,24
2022-10-30,62
2022-11-06,28
2022-11-13,33
2022-11-20,57
2022-11-27,28
2022-12-04,45
2022-12-11,35
2022-12-18,58
2022-12-25,65
