Category: Food & Drink

Week,Upma: (Delhi)
2018-01-07,17
2018-01-14,20
2018-01-21,10
2018-01-28,20
2018-02-04,29
2018-02-11,30
2018-02-18,23
2018-02-25,0
2018-03-04,19
2018-03-11,20
2018-03-18,9
2018-03-25,25
2018-04-01,22
2018-04-08,26
2018-04-15,21
2018-04-22,19
2018-04-29,21
2018-05-06,35
2018-05-13,22
2018-05-20,19
2018-05-27,27
2018-06-03,27
2018-06-10,27
2018-06-17,14
2018-06-24,14
2018-07-01,24
2018-07-08,29
2018-07-15,25
2018-07-22,34
2018-07-29,40
2018-08-05,31
2018-08-12,27
2018-08-19,32
2018-08-26,24
2018-09-02,30
2018-09-09,16
2018-09-16,41
2018-09-23,31
2018-09-30,16
2018-10-07,32
2018-10-14,15
2018-10-21,13
2018-10-28,10
2018-11-04,12
2018-11-11,18
2018-11-18,24
2018-11-25,13
2018-12-02,26
2018-12-09,22
2018-12-16,30
2018-12-23,9
2018-12-30,45
2019-01-06,19
2019-01-13,18
2019-01-20,28
2019-01-27,20
2019-02-03,27
2019-02-10,10
2019-02-17,16
2019-02-24,0
2019-03-03,18
2019-03-10,20
2019-03-17,17
2019-03-24,22
2019-03-31,0
2019-04-07,25
2019-04-14,12
2019-04-21,22
2019-04-28,32
2019-05-05,30
2019-05-12,39
2019-05-19,32
2019-05-26,25
2019-06-02,24
2019-06-09,30
2019-06-16,28
2019-06-23,15
2019-06-30,22
2019-07-07,20
2019-07-14,15
2019-07-21,23
2019-07-28,14
2019-08-04,41
2019-08-11,0
2019-08-18,47
2019-08-25,33
2019-09-01,32
2019-09-08,33
2019-09-15,28
2019-09-22,15
2019-09-29,22
2019-10-06,33
2019-10-13,23
2019-10-20,0
2019-10-27,9
2019-11-03,10
2019-11-10,26
2019-11-17,15
2019-11-24,27
2019-12-01,0
2019-12-08,11
2019-12-15,21
2019-12-22,0
2019-12-29,13
2020-01-05,20
2020-01-12,16
2020-01-19,26
2020-01-26,25
2020-02-02,32
2020-02-09,33
2020-02-16,29
2020-02-23,27
2020-03-01,37
2020-03-08,24
2020-03-15,39
2020-03-22,64
2020-03-29,69
2020-04-05,100
2020-04-12,66
2020-04-19,61
2020-04-26,59
2020-05-03,56
2020-05-10,32
2020-05-17,39
2020-05-24,44
2020-05-31,73
2020-06-07,53
2020-06-14,35
2020-06-21,22
2020-06-28,48
2020-07-05,56
2020-07-12,34
2020-07-19,24
2020-07-26,24
2020-08-02,0
2020-08-09,36
2020-08-16,47
2020-08-23,20
2020-08-30,30
2020-09-06,41
2020-09-13,15
2020-09-20,25
2020-09-27,27
2020-10-04,39
2020-10-11,19
2020-10-18,21
2020-10-25,17
2020-11-01,22
2020-11-08,19
2020-11-15,22
2020-11-22,31
2020-11-29,23
2020-12-06,24
2020-12-13,27
2020-12-20,12
2020-12-27,0
2021-01-03,30
2021-01-10,18
2021-01-17,18
2021-01-24,30
2021-01-31,30
2021-02-07,26
2021-02-14,27
2021-02-21,34
2021-02-28,8
2021-03-07,17
2021-03-14,26
2021-03-21,15
2021-03-28,11
2021-04-04,31
2021-04-11,37
2021-04-18,36
2021-04-25,39
2021-05-02,35
2021-05-09,43
2021-05-16,25
2021-05-23,45
2021-05-30,39
2021-06-06,24
2021-06-13,21
2021-06-20,30
2021-06-27,22
2021-07-04,30
2021-07-11,46
2021-07-18,16
2021-07-25,28
2021-08-01,36
2021-08-08,15
2021-08-15,13
2021-08-22,33
2021-08-29,15
2021-09-05,20
2021-09-12,13
2021-09-19,20
2021-09-26,19
2021-10-03,18
2021-10-10,42
2021-10-17,25
2021-10-24,30
2021-10-31,0
2021-11-07,21
2021-11-14,16
2021-11-21,21
2021-11-28,18
2021-12-05,25
2021-12-12,13
2021-12-19,14
2021-12-26,17
2022-01-02,25
2022-01-09,11
2022-01-16,39
2022-01-23,21
2022-01-30,26
2022-02-06,7
2022-02-13,32
2022-02-20,27
2022-02-27,45
2022-03-06,10
2022-03-13,19
2022-03-20,17
2022-03-27,26
2022-04-03,16
2022-04-10,7
2022-04-17,27
2022-04-24,31
2022-05-01,18
2022-05-08,25
2022-05-15,20
2022-05-22,22
2022-05-29,24
2022-06-05,40
2022-06-12,21
2022-06-19,34
2022-06-26,26
2022-07-03,26
2022-07-10,23
2022-07-17,24
2022-07-24,16
2022-07-31,37
2022-08-07,20
2022-08-14,29
2022-08-21,40
2022-08-28,28
2022-09-04,24
2022-09-11,34
2022-09-18,23
2022-09-25,31
2022-10-02,29
2022-10-09,24
2022-10-16,13
2022-10-23,12
2022-10-30,20
2022-11-06,20
2022-11-13,30
2022-11-20,10
2022-11-27,36
2022-12-04,10
2022-12-11,22
2022-12-18,19
2022-12-25,31
