Category: Food & Drink

Week,Uttapam: (Delhi)
2018-01-07,17
2018-01-14,0
2018-01-21,0
2018-01-28,19
2018-02-04,34
2018-02-11,10
2018-02-18,0
2018-02-25,12
2018-03-04,24
2018-03-11,13
2018-03-18,0
2018-03-25,27
2018-04-01,9
2018-04-08,15
2018-04-15,34
2018-04-22,40
2018-04-29,14
2018-05-06,18
2018-05-13,29
2018-05-20,26
2018-05-27,0
2018-06-03,30
2018-06-10,20
2018-06-17,33
2018-06-24,44
2018-07-01,29
2018-07-08,25
2018-07-15,20
2018-07-22,25
2018-07-29,0
2018-08-05,0
2018-08-12,16
2018-08-19,17
2018-08-26,13
2018-09-02,27
2018-09-09,24
2018-09-16,24
2018-09-23,12
2018-09-30,31
2018-10-07,16
2018-10-14,28
2018-10-21,14
2018-10-28,0
2018-11-04,17
2018-11-11,23
2018-11-18,17
2018-11-25,13
2018-12-02,8
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,11
2019-01-06,31
2019-01-13,46
2019-01-20,0
2019-01-27,13
2019-02-03,0
2019-02-10,0
2019-02-17,0
2019-02-24,17
2019-03-03,18
2019-03-10,0
2019-03-17,9
2019-03-24,13
2019-03-31,15
2019-04-07,14
2019-04-14,16
2019-04-21,11
2019-04-28,17
2019-05-05,0
2019-05-12,18
2019-05-19,22
2019-05-26,33
2019-06-02,29
2019-06-09,15
2019-06-16,13
2019-06-23,29
2019-06-30,14
2019-07-07,24
2019-07-14,26
2019-07-21,16
2019-07-28,8
2019-08-04,8
2019-08-11,22
2019-08-18,0
2019-08-25,0
2019-09-01,27
2019-09-08,32
2019-09-15,16
2019-09-22,15
2019-09-29,31
2019-10-06,24
2019-10-13,22
2019-10-20,15
2019-10-27,18
2019-11-03,0
2019-11-10,14
2019-11-17,19
2019-11-24,0
2019-12-01,11
2019-12-08,0
2019-12-15,0
2019-12-22,46
2019-12-29,0
2020-01-05,28
2020-01-12,11
2020-01-19,12
2020-01-26,0
2020-02-02,27
2020-02-09,27
2020-02-16,48
2020-02-23,15
2020-03-01,17
2020-03-08,32
2020-03-15,44
2020-03-22,28
2020-03-29,37
2020-04-05,67
2020-04-12,85
2020-04-19,100
2020-04-26,96
2020-05-03,88
2020-05-10,73
2020-05-17,58
2020-05-24,51
2020-05-31,80
2020-06-07,59
2020-06-14,71
2020-06-21,27
2020-06-28,36
2020-07-05,57
2020-07-12,45
2020-07-19,24
2020-07-26,0
2020-08-02,25
2020-08-09,23
2020-08-16,0
2020-08-23,17
2020-08-30,49
2020-09-06,0
2020-09-13,40
2020-09-20,31
2020-09-27,8
2020-10-04,17
2020-10-11,10
2020-10-18,23
2020-10-25,29
2020-11-01,32
2020-11-08,26
2020-11-15,13
2020-11-22,0
2020-11-29,10
2020-12-06,0
2020-12-13,23
2020-12-20,12
2020-12-27,0
2021-01-03,30
2021-01-10,24
2021-01-17,0
2021-01-24,0
2021-01-31,43
2021-02-07,10
2021-02-14,36
2021-02-21,18
2021-02-28,0
2021-03-07,27
2021-03-14,24
2021-03-21,0
2021-03-28,44
2021-04-04,31
2021-04-11,36
2021-04-18,38
2021-04-25,27
2021-05-02,46
2021-05-09,41
2021-05-16,0
2021-05-23,36
2021-05-30,32
2021-06-06,22
2021-06-13,28
2021-06-20,15
2021-06-27,0
2021-07-04,12
2021-07-11,35
2021-07-18,31
2021-07-25,0
2021-08-01,26
2021-08-08,25
2021-08-15,11
2021-08-22,0
2021-08-29,26
2021-09-05,21
2021-09-12,36
2021-09-19,16
2021-09-26,15
2021-10-03,9
2021-10-10,14
2021-10-17,0
2021-10-24,11
2021-10-31,0
2021-11-07,21
2021-11-14,20
2021-11-21,0
2021-11-28,38
2021-12-05,24
2021-12-12,42
2021-12-19,0
2021-12-26,14
2022-01-02,11
2022-01-09,0
2022-01-16,0
2022-01-23,19
2022-01-30,0
2022-02-06,21
2022-02-13,17
2022-02-20,13
2022-02-27,29
2022-03-06,30
2022-03-13,21
2022-03-20,18
2022-03-27,28
2022-04-03,19
2022-04-10,9
2022-04-17,24
2022-04-24,21
2022-05-01,17
2022-05-08,19
2022-05-15,22
2022-05-22,26
2022-05-29,21
2022-06-05,28
2022-06-12,20
2022-06-19,27
2022-06-26,18
2022-07-03,22
2022-07-10,22
2022-07-17,38
2022-07-24,47
2022-07-31,50
2022-08-07,35
2022-08-14,0
2022-08-21,27
2022-08-28,11
2022-09-04,26
2022-09-11,30
2022-09-18,17
2022-09-25,16
2022-10-02,8
2022-10-09,10
2022-10-16,35
2022-10-23,0
2022-10-30,9
2022-11-06,26
2022-11-13,15
2022-11-20,0
2022-11-27,10
2022-12-04,16
2022-12-11,30
2022-12-18,21
2022-12-25,9
