Category: Food & Drink

Week,Vada: (Delhi)
2018-01-07,27
2018-01-14,38
2018-01-21,29
2018-01-28,22
2018-02-04,18
2018-02-11,14
2018-02-18,42
2018-02-25,42
2018-03-04,26
2018-03-11,18
2018-03-18,29
2018-03-25,18
2018-04-01,21
2018-04-08,13
2018-04-15,22
2018-04-22,12
2018-04-29,12
2018-05-06,6
2018-05-13,11
2018-05-20,24
2018-05-27,23
2018-06-03,13
2018-06-10,25
2018-06-17,16
2018-06-24,21
2018-07-01,12
2018-07-08,29
2018-07-15,15
2018-07-22,30
2018-07-29,13
2018-08-05,24
2018-08-12,50
2018-08-19,39
2018-08-26,33
2018-09-02,21
2018-09-09,19
2018-09-16,12
2018-09-23,23
2018-09-30,21
2018-10-07,28
2018-10-14,13
2018-10-21,24
2018-10-28,18
2018-11-04,28
2018-11-11,9
2018-11-18,21
2018-11-25,19
2018-12-02,4
2018-12-09,21
2018-12-16,24
2018-12-23,14
2018-12-30,6
2019-01-06,5
2019-01-13,29
2019-01-20,21
2019-01-27,30
2019-02-03,36
2019-02-10,16
2019-02-17,9
2019-02-24,23
2019-03-03,11
2019-03-10,24
2019-03-17,35
2019-03-24,13
2019-03-31,13
2019-04-07,21
2019-04-14,6
2019-04-21,8
2019-04-28,24
2019-05-05,14
2019-05-12,15
2019-05-19,13
2019-05-26,26
2019-06-02,23
2019-06-09,25
2019-06-16,15
2019-06-23,24
2019-06-30,17
2019-07-07,15
2019-07-14,25
2019-07-21,28
2019-07-28,18
2019-08-04,19
2019-08-11,27
2019-08-18,20
2019-08-25,28
2019-09-01,19
2019-09-08,15
2019-09-15,21
2019-09-22,26
2019-09-29,35
2019-10-06,26
2019-10-13,26
2019-10-20,36
2019-10-27,22
2019-11-03,23
2019-11-10,15
2019-11-17,36
2019-11-24,14
2019-12-01,27
2019-12-08,18
2019-12-15,19
2019-12-22,24
2019-12-29,20
2020-01-05,24
2020-01-12,31
2020-01-19,11
2020-01-26,6
2020-02-02,20
2020-02-09,10
2020-02-16,19
2020-02-23,34
2020-03-01,27
2020-03-08,66
2020-03-15,14
2020-03-22,31
2020-03-29,40
2020-04-05,100
2020-04-12,92
2020-04-19,93
2020-04-26,87
2020-05-03,95
2020-05-10,66
2020-05-17,42
2020-05-24,35
2020-05-31,42
2020-06-07,61
2020-06-14,42
2020-06-21,29
2020-06-28,30
2020-07-05,20
2020-07-12,40
2020-07-19,56
2020-07-26,36
2020-08-02,35
2020-08-09,34
2020-08-16,20
2020-08-23,0
2020-08-30,25
2020-09-06,35
2020-09-13,23
2020-09-20,26
2020-09-27,25
2020-10-04,25
2020-10-11,19
2020-10-18,29
2020-10-25,21
2020-11-01,18
2020-11-08,35
2020-11-15,12
2020-11-22,7
2020-11-29,21
2020-12-06,13
2020-12-13,20
2020-12-20,39
2020-12-27,22
2021-01-03,27
2021-01-10,15
2021-01-17,21
2021-01-24,31
2021-01-31,26
2021-02-07,25
2021-02-14,26
2021-02-21,20
2021-02-28,8
2021-03-07,19
2021-03-14,25
2021-03-21,39
2021-03-28,47
2021-04-04,34
2021-04-11,32
2021-04-18,17
2021-04-25,22
2021-05-02,13
2021-05-09,39
2021-05-16,39
2021-05-23,45
2021-05-30,49
2021-06-06,24
2021-06-13,43
2021-06-20,23
2021-06-27,16
2021-07-04,23
2021-07-11,16
2021-07-18,19
2021-07-25,29
2021-08-01,52
2021-08-08,9
2021-08-15,18
2021-08-22,30
2021-08-29,23
2021-09-05,32
2021-09-12,10
2021-09-19,9
2021-09-26,31
2021-10-03,30
2021-10-10,43
2021-10-17,22
2021-10-24,28
2021-10-31,29
2021-11-07,20
2021-11-14,6
2021-11-21,19
2021-11-28,18
2021-12-05,14
2021-12-12,34
2021-12-19,27
2021-12-26,9
2022-01-02,11
2022-01-09,30
2022-01-16,26
2022-01-23,21
2022-01-30,27
2022-02-06,21
2022-02-13,17
2022-02-20,0
2022-02-27,16
2022-03-06,17
2022-03-13,28
2022-03-20,9
2022-03-27,19
2022-04-03,22
2022-04-10,29
2022-04-17,18
2022-04-24,26
2022-05-01,19
2022-05-08,21
2022-05-15,31
2022-05-22,18
2022-05-29,29
2022-06-05,17
2022-06-12,22
2022-06-19,22
2022-06-26,14
2022-07-03,35
2022-07-10,46
2022-07-17,23
2022-07-24,28
2022-07-31,39
2022-08-07,33
2022-08-14,19
2022-08-21,24
2022-08-28,15
2022-09-04,20
2022-09-11,32
2022-09-18,17
2022-09-25,5
2022-10-02,26
2022-10-09,19
2022-10-16,0
2022-10-23,22
2022-10-30,17
2022-11-06,15
2022-11-13,12
2022-11-20,21
2022-11-27,21
2022-12-04,20
2022-12-11,17
2022-12-18,13
2022-12-25,29
