Category: Food & Drink

Week,Watermelon: (Delhi)
2018-01-07,5
2018-01-14,8
2018-01-21,4
2018-01-28,0
2018-02-04,5
2018-02-11,4
2018-02-18,11
2018-02-25,4
2018-03-04,10
2018-03-11,17
2018-03-18,24
2018-03-25,22
2018-04-01,28
2018-04-08,37
2018-04-15,27
2018-04-22,52
2018-04-29,20
2018-05-06,39
2018-05-13,44
2018-05-20,34
2018-05-27,45
2018-06-03,29
2018-06-10,31
2018-06-17,18
2018-06-24,16
2018-07-01,15
2018-07-08,8
2018-07-15,11
2018-07-22,8
2018-07-29,16
2018-08-05,7
2018-08-12,0
2018-08-19,17
2018-08-26,0
2018-09-02,4
2018-09-09,10
2018-09-16,0
2018-09-23,9
2018-09-30,0
2018-10-07,11
2018-10-14,4
2018-10-21,7
2018-10-28,0
2018-11-04,4
2018-11-11,7
2018-11-18,12
2018-11-25,11
2018-12-02,10
2018-12-09,7
2018-12-16,5
2018-12-23,0
2018-12-30,11
2019-01-06,6
2019-01-13,9
2019-01-20,5
2019-01-27,11
2019-02-03,11
2019-02-10,16
2019-02-17,0
2019-02-24,10
2019-03-03,14
2019-03-10,0
2019-03-17,14
2019-03-24,18
2019-03-31,25
2019-04-07,13
2019-04-14,30
2019-04-21,48
2019-04-28,38
2019-05-05,40
2019-05-12,55
2019-05-19,37
2019-05-26,37
2019-06-02,31
2019-06-09,62
2019-06-16,23
2019-06-23,32
2019-06-30,16
2019-07-07,25
2019-07-14,15
2019-07-21,0
2019-07-28,16
2019-08-04,7
2019-08-11,12
2019-08-18,6
2019-08-25,11
2019-09-01,13
2019-09-08,0
2019-09-15,9
2019-09-22,5
2019-09-29,11
2019-10-06,17
2019-10-13,11
2019-10-20,0
2019-10-27,13
2019-11-03,8
2019-11-10,10
2019-11-17,4
2019-11-24,9
2019-12-01,4
2019-12-08,5
2019-12-15,7
2019-12-22,0
2019-12-29,8
2020-01-05,13
2020-01-12,17
2020-01-19,13
2020-01-26,9
2020-02-02,13
2020-02-09,4
2020-02-16,11
2020-02-23,8
2020-03-01,11
2020-03-08,8
2020-03-15,13
2020-03-22,16
2020-03-29,26
2020-04-05,35
2020-04-12,60
2020-04-19,76
2020-04-26,91
2020-05-03,100
2020-05-10,74
2020-05-17,96
2020-05-24,94
2020-05-31,50
2020-06-07,64
2020-06-14,60
2020-06-21,37
2020-06-28,35
2020-07-05,32
2020-07-12,25
2020-07-19,35
2020-07-26,18
2020-08-02,27
2020-08-09,21
2020-08-16,11
2020-08-23,16
2020-08-30,15
2020-09-06,19
2020-09-13,24
2020-09-20,7
2020-09-27,12
2020-10-04,19
2020-10-11,9
2020-10-18,12
2020-10-25,12
2020-11-01,8
2020-11-08,7
2020-11-15,0
2020-11-22,6
2020-11-29,7
2020-12-06,13
2020-12-13,14
2020-12-20,5
2020-12-27,16
2021-01-03,0
2021-01-10,8
2021-01-17,18
2021-01-24,19
2021-01-31,5
2021-02-07,5
2021-02-14,0
2021-02-21,0
2021-02-28,13
2021-03-07,26
2021-03-14,39
2021-03-21,37
2021-03-28,54
2021-04-04,50
2021-04-11,65
2021-04-18,50
2021-04-25,63
2021-05-02,62
2021-05-09,82
2021-05-16,43
2021-05-23,75
2021-05-30,59
2021-06-06,46
2021-06-13,28
2021-06-20,27
2021-06-27,25
2021-07-04,31
2021-07-11,10
2021-07-18,14
2021-07-25,8
2021-08-01,13
2021-08-08,11
2021-08-15,15
2021-08-22,14
2021-08-29,9
2021-09-05,0
2021-09-12,8
2021-09-19,9
2021-09-26,17
2021-10-03,10
2021-10-10,0
2021-10-17,11
2021-10-24,24
2021-10-31,14
2021-11-07,0
2021-11-14,10
2021-11-21,11
2021-11-28,22
2021-12-05,14
2021-12-12,10
2021-12-19,15
2021-12-26,5
2022-01-02,13
2022-01-09,16
2022-01-16,7
2022-01-23,15
2022-01-30,13
2022-02-06,34
2022-02-13,14
2022-02-20,19
2022-02-27,22
2022-03-06,17
2022-03-13,23
2022-03-20,29
2022-03-27,33
2022-04-03,55
2022-04-10,52
2022-04-17,55
2022-04-24,62
2022-05-01,64
2022-05-08,77
2022-05-15,75
2022-05-22,59
2022-05-29,43
2022-06-05,51
2022-06-12,36
2022-06-19,13
2022-06-26,21
2022-07-03,25
2022-07-10,15
2022-07-17,15
2022-07-24,13
2022-07-31,12
2022-08-07,11
2022-08-14,20
2022-08-21,11
2022-08-28,16
2022-09-04,6
2022-09-11,17
2022-09-18,23
2022-09-25,13
2022-10-02,0
2022-10-09,11
2022-10-16,6
2022-10-23,16
2022-10-30,8
2022-11-06,0
2022-11-13,8
2022-11-20,16
2022-11-27,18
2022-12-04,7
2022-12-11,14
2022-12-18,17
2022-12-25,11
